FET Vds-Id
VDS= 0 to -2 in -0.05 step
VG= 0 to -2 in -0.5 step
NO. VG VDS VS ID IS IG ISUB VSUB
 V V V A A A A V
1 0 0 0 -3.6E-13 -3.32E-12 1.59E-12 2E-13 0
2 0 -0.05 0 -5.8E-13 1.3E-13 3.1E-13 4.9E-13 0
3 0 -0.1 0 -8.4E-13 -6.7E-13 5.1E-13 6.3E-13 0
4 0 -0.15 0 -9.5E-13 -5.5E-13 -1.3E-13 7E-13 0
5 0 -0.2 0 -9.2E-13 -1.28E-12 -4.9E-13 7.1E-13 0
6 0 -0.25 0 -9.6E-13 -7E-14 9.1E-13 7.3E-13 0
7 0 -0.3 0 -9.5E-13 -6.7E-13 -2.7E-13 7.4E-13 0
8 0 -0.35 0 -9.7E-13 1.9E-13 5.3E-13 7.8E-13 0
9 0 -0.4 0 -9.9E-13 -1.14E-12 2E-14 8.2E-13 0
10 0 -0.45 0 -1.14E-12 -3.6E-13 0 7.9E-13 0
11 0 -0.5 0 -1.68E-12 -1.69E-12 -2.08E-12 9.2E-13 0
12 0 -0.55 0 -1.17E-12 -6.8E-13 0 8.4E-13 0
13 0 -0.6 0 -1.11E-12 -6.2E-13 -6.7E-13 8.8E-13 0
14 0 -0.65 0 -1.19E-12 -3.1E-13 5E-14 9.1E-13 0
15 0 -0.7 0 -1.1E-12 -5.8E-13 2.1E-13 9.2E-13 0
16 0 -0.75 0 -1.17E-12 -4E-14 1.04E-12 9.9E-13 0
17 0 -0.8 0 -1.31E-12 -9.3E-13 -1E-13 1.03E-12 0
18 0 -0.85 0 -1.34E-12 -6.5E-13 4.7E-13 1.07E-12 0
19 0 -0.9 0 -1.57E-12 -1.03E-12 -2.4E-13 1.08E-12 0
20 0 -0.95 0 -1.58E-12 -4.8E-13 4.7E-13 1.15E-12 0
21 0 -1 0 -1.62E-12 -1.9E-12 -1.4E-12 1.18E-12 0
22 0 -1.05 0 -2.27E-12 -2.65E-12 -2.68E-12 1.38E-12 0
23 0 -1.1 0 -2E-12 -2.63E-12 -1.36E-12 1.36E-12 0
24 0 -1.15 0 -2.49E-12 -2.61E-12 -1.61E-12 1.48E-12 0
25 0 -1.2 0 -3.08E-12 -5.74E-12 -4.21E-12 1.71E-12 0
26 0 -1.25 0 -3.4E-12 -3.68E-12 -3.85E-12 1.78E-12 0
27 0 -1.3 0 -3.86E-12 -4.13E-12 -4.49E-12 2.17E-12 0
28 0 -1.35 0 -3.26E-12 6.3E-13 -9.3E-13 2.66E-12 0
29 0 -1.4 0 -3.4E-12 -1.59E-12 -1.04E-12 3.13E-12 0
30 0 -1.45 0 -3.91E-12 2.7E-13 3.2E-13 3.37E-12 0
31 0 -1.5 0 -4.17E-12 -9.6E-13 8E-14 3.91E-12 0
32 0 -1.55 0 -4.57E-12 1.4E-13 4.4E-13 4.63E-12 0
33 0 -1.6 0 -4.49E-12 3.54E-12 3.83E-12 5.19E-12 0
34 0 -1.65 0 -5.31E-12 3.43E-12 4.12E-12 5.62E-12 0
35 0 -1.7 0 -6.95E-12 -1.58E-12 -1.16E-12 6.24E-12 0
36 0 -1.75 0 -7.77E-12 -3.9E-13 1.7E-13 7.02E-12 0
37 0 -1.8 0 -8.57E-12 -1.64E-12 -1.32E-12 8.21E-12 0
38 0 -1.85 0 -9.51E-12 -5E-14 1.5E-13 9.07E-12 0
39 0 -1.9 0 -1.054E-11 -2.7E-13 -2E-13 1.027E-11 0
40 0 -1.95 0 -1.16E-11 1.98E-12 3.01E-12 1.158E-11 0
41 0 -2 0 -1.295E-11 7E-13 9.5E-13 1.293E-11 0
42 0 -2 0 -1.295E-11 2.15E-12 1.12E-12 1.294E-11 0
43 0 -1.95 0 -1.144E-11 5.5E-13 2.23E-12 1.158E-11 0
44 0 -1.9 0 -1.028E-11 2.32E-12 2.95E-12 1.058E-11 0
45 0 -1.85 0 -9.06E-12 1.4E-13 9.8E-13 8.96E-12 0
46 0 -1.8 0 -7.95E-12 2.82E-12 3.21E-12 8.19E-12 0
47 0 -1.75 0 -6.54E-12 1.56E-12 1.98E-12 7.27E-12 0
48 0 -1.7 0 -6.72E-12 -1.24E-12 1.88E-12 6.26E-12 0
49 0 -1.65 0 -5.53E-12 -1.16E-12 -6.1E-13 5.63E-12 0
50 0 -1.6 0 -5.13E-12 1.1E-12 1.38E-12 4.91E-12 0
51 0 -1.55 0 -4.53E-12 -1.7E-12 -1.18E-12 4.43E-12 0
52 0 -1.5 0 -4.04E-12 9.5E-13 1.85E-12 3.89E-12 0
53 0 -1.45 0 -3.43E-12 -1.24E-12 -2.7E-13 3.35E-12 0
54 0 -1.4 0 -3.09E-12 6.9E-13 1.31E-12 3.03E-12 0
55 0 -1.35 0 -2.81E-12 -2.65E-12 -1.42E-12 2.63E-12 0
56 0 -1.3 0 -2.46E-12 7.2E-13 1.85E-12 2.43E-12 0
57 0 -1.25 0 -2.21E-12 -2.11E-12 -1.41E-12 2.15E-12 0
58 0 -1.2 0 -2.04E-12 7E-13 1.49E-12 1.89E-12 0
59 0 -1.15 0 -1.79E-12 -1.77E-12 -1.71E-12 1.67E-12 0
60 0 -1.1 0 -1.61E-12 4.2E-13 1.41E-12 1.6E-12 0
61 0 -1.05 0 -1.49E-12 -1.16E-12 -1.29E-12 1.4E-12 0
62 0 -1 0 -1.3E-12 5.9E-13 1.65E-12 1.31E-12 0
63 0 -0.95 0 -1.21E-12 -1.95E-12 -1.09E-12 1.26E-12 0
64 0 -0.9 0 -1.18E-12 1.07E-12 1.19E-12 1.1E-12 0
65 0 -0.85 0 -1.22E-12 -2.14E-12 -1.89E-12 1.13E-12 0
66 0 -0.8 0 -7.5E-13 1.47E-12 2.27E-12 9.9E-13 0
67 0 -0.75 0 -1.06E-12 -2.06E-12 -1.09E-12 9.4E-13 0
68 0 -0.7 0 -1.04E-12 8E-14 9.1E-13 8.7E-13 0
69 0 -0.65 0 -8.7E-13 -2.19E-12 -1.13E-12 7.7E-13 0
70 0 -0.6 0 -1.14E-12 2.7E-13 1.35E-12 8.7E-13 0
71 0 -0.55 0 -1.02E-12 -2.9E-13 2.7E-13 8.4E-13 0
72 0 -0.5 0 -9.4E-13 7E-13 1.34E-12 8.4E-13 0
73 0 -0.45 0 -8.8E-13 -2.3E-12 -1.24E-12 7.5E-13 0
74 0 -0.4 0 -8E-13 5.1E-13 1.38E-12 8E-13 0
75 0 -0.35 0 -8.3E-13 -2.41E-12 -1.9E-12 7.1E-13 0
76 0 -0.3 0 -7.9E-13 6.9E-13 1.21E-12 7E-13 0
77 0 -0.25 0 -7.5E-13 -2.65E-12 -1.93E-12 8.1E-13 0
78 0 -0.2 0 -7E-13 1.23E-12 2.04E-12 6.5E-13 0
