FET Vds-Id
VG= 0 to -2 in -0.02 step
VDS= -0.05 to -0.5 in -0.45 step
NO. VG VDS ID IG VSUB
 V V A A V
1 0 -0.05 -6.55E-12 -5.59E-12 1
2 -0.02 -0.05 -6.29E-12 -5.43E-12 1
3 -0.04 -0.05 -6E-12 -7.92E-12 1
4 -0.06 -0.05 -5.92E-12 -6.62E-12 1
5 -0.08 -0.05 -5.63E-12 -7.79E-12 1
6 -0.1 -0.05 -5.46E-12 -6.61E-12 1
7 -0.12 -0.05 -5.23E-12 -8.5E-12 1
8 -0.14 -0.05 -5.11E-12 -7.36E-12 1
9 -0.16 -0.05 -4.72E-12 -9.32E-12 1
10 -0.18 -0.05 -4.61E-12 -6.82E-12 1
11 -0.2 -0.05 -4.45E-12 -9.6E-12 1
12 -0.22 -0.05 -4.26E-12 -8.45E-12 1
13 -0.24 -0.05 -4.24E-12 -1.027E-11 1
14 -0.26 -0.05 -4.2E-12 -8.7E-12 1
15 -0.28 -0.05 -3.85E-12 -8.24E-12 1
16 -0.3 -0.05 -2.99E-12 -4.94E-12 1
17 -0.32 -0.05 -2.54E-12 -5.55E-12 1
18 -0.34 -0.05 -2.4E-12 -4.28E-12 1
19 -0.36 -0.05 -2.56E-12 -5.96E-12 1
20 -0.38 -0.05 -2.75E-12 -6.59E-12 1
21 -0.4 -0.05 -3.14E-12 -9.67E-12 1
22 -0.42 -0.05 -3.49E-12 -9.69E-12 1
23 -0.44 -0.05 -3.35E-12 -1.073E-11 1
24 -0.46 -0.05 -2.11E-12 -4.8E-12 1
25 -0.48 -0.05 -1.85E-12 -7.6E-12 1
26 -0.5 -0.05 -2.71E-12 -9.55E-12 1
27 -0.52 -0.05 -2.58E-12 -1.016E-11 1
28 -0.54 -0.05 -2.25E-12 -8.13E-12 1
29 -0.56 -0.05 -1.69E-12 -6.75E-12 1
30 -0.58 -0.05 -1.87E-12 -5.14E-12 1
31 -0.6 -0.05 -1.44E-12 -7.96E-12 1
32 -0.62 -0.05 -1.62E-12 -6.47E-12 1
33 -0.64 -0.05 -2.08E-12 -9.74E-12 1
34 -0.66 -0.05 -1.84E-12 -7.68E-12 1
35 -0.68 -0.05 -1.76E-12 -9.16E-12 1
36 -0.7 -0.05 -1.58E-12 -7.35E-12 1
37 -0.72 -0.05 -1.63E-12 -8.74E-12 1
38 -0.74 -0.05 -1.94E-12 -8.7E-12 1
39 -0.76 -0.05 -1.45E-12 -8.38E-12 1
40 -0.78 -0.05 -1.41E-12 -7.15E-12 1
41 -0.8 -0.05 -1.42E-12 -8.84E-12 1
42 -0.82 -0.05 -1.49E-12 -7.23E-12 1
43 -0.84 -0.05 -1.82E-12 -1.061E-11 1
44 -0.86 -0.05 -2.52E-12 -8.29E-12 1
45 -0.88 -0.05 -3.5E-12 -1.102E-11 1
46 -0.9 -0.05 -6.46E-12 -1.012E-11 1
47 -0.92 -0.05 -1.197E-11 -1.384E-11 1
48 -0.94 -0.05 -2.384E-11 -1.764E-11 1
49 -0.96 -0.05 -4.861E-11 -2.99E-11 1
50 -0.98 -0.05 -1.0028E-10 -4.91E-11 1
51 -1 -0.05 -2.0726E-10 -9.6E-11 1
52 -1.02 -0.05 -4.3235E-10 -1.863E-10 1
53 -1.04 -0.05 -9.5044E-10 -2.8046E-10 1
54 -1.06 -0.05 -2.08379E-09 -3.1216E-10 1
55 -1.08 -0.05 -4.33391E-09 -3.4074E-10 1
56 -1.1 -0.05 -8.55757E-09 -3.465E-10 1
57 -1.12 -0.05 -1.60967E-08 -3.6549E-10 1
58 -1.14 -0.05 -2.85658E-08 -3.7597E-10 1
59 -1.16 -0.05 -4.75465E-08 -3.9057E-10 1
60 -1.18 -0.05 -7.38321E-08 -3.9607E-10 1
61 -1.2 -0.05 -1.078969E-07 -4.0854E-10 1
62 -1.22 -0.05 -1.49039E-07 -4.0886E-10 1
63 -1.24 -0.05 -1.96113E-07 -4.148E-10 1
64 -1.26 -0.05 -2.47698E-07 -4.4863E-10 1
65 -1.28 -0.05 -3.03062E-07 -4.488E-10 1
66 -1.3 -0.05 -3.61051E-07 -4.6738E-10 1
67 -1.32 -0.05 -4.20899E-07 -4.7531E-10 1
68 -1.34 -0.05 -4.81713E-07 -4.8917E-10 1
69 -1.36 -0.05 -5.43618E-07 -5.028E-10 1
70 -1.38 -0.05 -6.05882E-07 -5.1769E-10 1
71 -1.4 -0.05 -6.68373E-07 -5.3049E-10 1
72 -1.42 -0.05 -7.30606E-07 -5.4922E-10 1
73 -1.44 -0.05 -7.92999E-07 -5.3022E-10 1
74 -1.46 -0.05 -8.55088E-07 -5.4353E-10 1
75 -1.48 -0.05 -9.16917E-07 -5.683E-10 1
76 -1.5 -0.05 -9.78146E-07 -5.5215E-10 1
77 -1.52 -0.05 -1.039131E-06 -5.9539E-10 1
78 -1.54 -0.05 -1.099712E-06 -6.1901E-10 1
79 -1.56 -0.05 -1.15791E-06 -6.2609E-10 1
80 -1.58 -0.05 -1.21714E-06 -6.4499E-10 1
81 -1.6 -0.05 -1.27581E-06 -6.6675E-10 1
82 -1.62 -0.05 -1.33389E-06 -6.8437E-10 1
83 -1.64 -0.05 -1.39123E-06 -7.0543E-10 1
84 -1.66 -0.05 -1.44823E-06 -7.2238E-10 1
85 -1.68 -0.05 -1.50465E-06 -7.4213E-10 1
86 -1.7 -0.05 -1.5605E-06 -7.61E-10 1
87 -1.72 -0.05 -1.61562E-06 -7.805E-10 1
88 -1.74 -0.05 -1.67033E-06 -8.0979E-10 1
89 -1.76 -0.05 -1.72457E-06 -8.3093E-10 1
90 -1.78 -0.05 -1.77821E-06 -8.594E-10 1
91 -1.8 -0.05 -1.83111E-06 -8.7682E-10 1
92 -1.82 -0.05 -1.88379E-06 -9.0316E-10 1
93 -1.84 -0.05 -1.93588E-06 -9.3148E-10 1
94 -1.86 -0.05 -1.9875E-06 -9.6172E-10 1
95 -1.88 -0.05 -2.03837E-06 -1.00924E-09 1
96 -1.9 -0.05 -2.08894E-06 -1.02176E-09 1
97 -1.92 -0.05 -2.13907E-06 -1.06117E-09 1
98 -1.94 -0.05 -2.18872E-06 -1.09292E-09 1
99 -1.96 -0.05 -2.23778E-06 -1.121E-09 1
100 -1.98 -0.05 -2.28653E-06 -1.15634E-09 1
101 -2 -0.05 -2.33474E-06 -1.17847E-09 1
102 -2 -0.05 -2.33487E-06 -1.19911E-09 1
