FET Vds-Id
VG= 0 to 2 in 0.02 step
VDS= 0.05 to 0.5 in 0.45 step
NO. VG VDS ID IG VSUB
 V V A A V
119 1.66 0.05 6.49985E-06 -3.39E-12 0
120 1.64 0.05 6.22784E-06 -4.26E-12 0
121 1.62 0.05 5.95385E-06 -2.66E-12 0
122 1.6 0.05 5.67867E-06 -2.77E-12 0
123 1.58 0.05 5.40007E-06 -4.62E-12 0
124 1.56 0.05 5.11933E-06 -3.55E-12 0
125 1.54 0.05 4.83715E-06 -3.09E-12 0
126 1.52 0.05 4.55371E-06 -2.31E-12 0
127 1.5 0.05 4.2672E-06 -4.33E-12 0
128 1.48 0.05 3.97895E-06 -2.59E-12 0
129 1.46 0.05 3.68948E-06 -3.83E-12 0
130 1.44 0.05 3.39946E-06 -2.79E-12 0
131 1.42 0.05 3.10751E-06 -3.58E-12 0
132 1.4 0.05 2.81516E-06 -3.07E-12 0
133 1.38 0.05 2.5226E-06 -3.04E-12 0
134 1.36 0.05 2.23235E-06 -2.86E-12 0
135 1.34 0.05 1.94382E-06 -4.98E-12 0
136 1.32 0.05 1.65997E-06 -3.21E-12 0
137 1.3 0.05 1.38401E-06 -2.4E-12 0
138 1.28 0.05 1.12103E-06 -5.07E-12 0
139 1.26 0.05 8.75865E-07 -4.96E-12 0
140 1.24 0.05 6.5287E-07 -4.04E-12 0
141 1.22 0.05 4.62034E-07 -2.45E-12 0
142 1.2 0.05 3.07505E-07 -4.55E-12 0
143 1.18 0.05 1.91975E-07 -4.28E-12 0
144 1.16 0.05 1.12708E-07 -3.05E-12 0
145 1.14 0.05 6.28885E-08 -2.95E-12 0
146 1.12 0.05 3.34619E-08 -2.95E-12 0
147 1.1 0.05 1.72088E-08 -4.21E-12 0
148 1.08 0.05 8.68232E-09 -4.07E-12 0
149 1.06 0.05 4.28982E-09 -2.42E-12 0
150 1.04 0.05 2.09374E-09 -4.19E-12 0
151 1.02 0.05 1.01743E-09 -2.43E-12 0
152 1 0.05 4.9343E-10 -3.54E-12 0
153 0.98 0.05 2.4067E-10 -2.55E-12 0
154 0.96 0.05 1.1679E-10 -3.08E-12 0
155 0.94 0.05 5.667E-11 -4.89E-12 0
156 0.92 0.05 2.793E-11 -3.14E-12 0
157 0.9 0.05 1.39E-11 -4.62E-12 0
158 0.88 0.05 6.91E-12 -3.19E-12 0
159 0.86 0.05 3.94E-12 -1.72E-12 0
160 0.84 0.05 2E-12 -5.66E-12 0
161 0.82 0.05 1.5E-12 -3.53E-12 0
162 0.8 0.05 1E-12 -2.94E-12 0
163 0.78 0.05 8.4E-13 -1.45E-12 0
164 0.76 0.05 5.4E-13 -3.57E-12 0
165 0.74 0.05 4.3E-13 -3.82E-12 0
166 0.72 0.05 2.8E-13 -3.43E-12 0
167 0.7 0.05 1.9E-13 -2.56E-12 0
168 0.68 0.05 2.9E-13 -1.62E-12 0
169 0.66 0.05 7E-14 -3.12E-12 0
170 0.64 0.05 2.4E-13 -3.55E-12 0
171 0.62 0.05 1.6E-13 -5.21E-12 0
172 0.6 0.05 1E-13 -1.09E-12 0
173 0.58 0.05 5E-14 -1.7E-12 0
174 0.56 0.05 1.3E-13 -1.73E-12 0
175 0.54 0.05 2.5E-13 -2.41E-12 0
176 0.52 0.05 8E-14 -4.14E-12 0
177 0.5 0.05 1.5E-13 -2.8E-12 0
178 0.48 0.05 1E-14 -3.39E-12 0
179 0.46 0.05 1.1E-13 -2.92E-12 0
180 0.44 0.05 5E-14 -4.71E-12 0
181 0.42 0.05 0 -3.49E-12 0
182 0.4 0.05 1E-13 -2.97E-12 0
183 0.38 0.05 1.5E-13 -2.36E-12 0
184 0.36 0.05 4E-14 -4.52E-12 0
185 0.34 0.05 1.6E-13 -5.2E-12 0
186 0.32 0.05 7E-14 -5.77E-12 0
187 0.3 0.05 1.4E-13 -4.99E-12 0
188 0.28 0.05 -1.5E-13 -2.55E-12 0
189 0.26 0.05 1.2E-13 -3.17E-12 0
190 0.24 0.05 2E-13 -4.37E-12 0
191 0.22 0.05 4E-14 -5.29E-12 0
192 0.2 0.05 1E-14 -3.46E-12 0
193 0.18 0.05 9E-14 -3.35E-12 0
194 0.16 0.05 -1E-13 -5.25E-12 0
195 0.14 0.05 2E-14 -3.38E-12 0
196 0.12 0.05 -2E-14 -3.43E-12 0
197 0.1 0.05 2.4E-13 -2.01E-12 0
198 0.08 0.05 1.6E-13 -2.94E-12 0
199 0.06 0.05 3E-14 -2.96E-12 0
200 0.04 0.05 3.3E-13 -2.34E-12 0
201 0.02 0.05 -1.5E-13 -5.5E-12 0
202 0 0.05 2.3E-13 -3.8E-12 0
203 0 0.5 5.87E-12 -2.52E-12 0
204 0.02 0.5 4.38E-12 -1.46E-12 0
205 0.04 0.5 3.34E-12 -1.52E-12 0
206 0.06 0.5 2.61E-12 8.6E-13 0
207 0.08 0.5 2.01E-12 -3E-14 0
208 0.1 0.5 1.69E-12 7E-14 0
209 0.12 0.5 1.38E-12 5.5E-13 0
210 0.14 0.5 1.03E-12 1.83E-12 0
211 0.16 0.5 1.17E-12 1.47E-12 0
212 0.18 0.5 8.8E-13 2.9E-13 0
213 0.2 0.5 7.1E-13 -1.1E-12 0
214 0.22 0.5 5.2E-13 1.79E-12 0
215 0.24 0.5 4.9E-13 2.28E-12 0
216 0.26 0.5 4.3E-13 2.61E-12 0
217 0.28 0.5 5.5E-13 3.78E-12 0
218 0.3 0.5 2.9E-13 7E-13 0
219 0.32 0.5 2.6E-13 5.6E-13 0
220 0.34 0.5 1.2E-13 1.38E-12 0
221 0.36 0.5 3E-13 2.65E-12 0
222 0.38 0.5 1.3E-13 1.17E-12 0
223 0.4 0.5 1.5E-13 1.64E-12 0
224 0.42 0.5 2.4E-13 2.04E-12 0
225 0.44 0.5 3E-13 3.14E-12 0
226 0.46 0.5 2E-13 3.12E-12 0
227 0.48 0.5 1.6E-13 1E-12 0
228 0.5 0.5 -1E-14 1.3E-13 0
229 0.52 0.5 2.2E-13 2.49E-12 0
230 0.54 0.5 1.5E-13 3.19E-12 0
231 0.56 0.5 3E-14 1.1E-13 0
232 0.58 0.5 6E-14 1.74E-12 0
233 0.6 0.5 3E-14 8.7E-13 0
234 0.62 0.5 -1E-13 1.94E-12 0
235 0.64 0.5 2E-13 2.78E-12 0
236 0.66 0.5 2.3E-13 3.81E-12 0
237 0.68 0.5 2.1E-13 8.1E-13 0
238 0.7 0.5 3.1E-13 3.92E-12 0
239 0.72 0.5 5.3E-13 4.02E-12 0
240 0.74 0.5 2.9E-13 2.61E-12 0
241 0.76 0.5 6E-13 1.39E-12 0
242 0.78 0.5 9.2E-13 3.53E-12 0
243 0.8 0.5 1.25E-12 4.08E-12 0
244 0.82 0.5 2.1E-12 5.14E-12 0
245 0.84 0.5 3.97E-12 4.81E-12 0
246 0.86 0.5 6.96E-12 2.67E-12 0
247 0.88 0.5 1.412E-11 2.01E-12 0
248 0.9 0.5 2.886E-11 2.18E-12 0
249 0.92 0.5 5.952E-11 4.52E-12 0
250 0.94 0.5 1.2325E-10 3.37E-12 0
251 0.96 0.5 2.5607E-10 4.19E-12 0
