FET Vds-Id
VDS= 0 to -2 in -0.05 step
VG= 0 to -2 in -0.5 step
NO. VG VDS VS ID IS IG ISUB VSUB
 V V V A A A A V
1 0 0 0 -8E-14 -1.04E-12 1.23E-12 7E-14 0
2 0 -0.05 0 -2.8E-13 1.29E-12 1.18E-12 4.1E-13 0
3 0 -0.1 0 -3.2E-13 -8.8E-13 -1.13E-12 3.2E-13 0
4 0 -0.15 0 -2.9E-13 1E-12 1.4E-12 3.7E-13 0
5 0 -0.2 0 -3.7E-13 -1.23E-12 -8.1E-13 2.8E-13 0
6 0 -0.25 0 -4E-13 9.9E-13 1.27E-12 3.2E-13 0
7 0 -0.3 0 -4.2E-13 -1.34E-12 -6.4E-13 4E-13 0
8 0 -0.35 0 -4.6E-13 1.09E-12 1.15E-12 3.6E-13 0
9 0 -0.4 0 -4.5E-13 -1.66E-12 -1E-12 3.9E-13 0
10 0 -0.45 0 -5.2E-13 -7E-13 -1E-12 3.5E-13 0
11 0 -0.5 0 -6.5E-13 8.8E-13 1.24E-12 3.1E-13 0
12 0 -0.55 0 -6.3E-13 -1.35E-12 -1.7E-12 3.6E-13 0
13 0 -0.6 0 -4.3E-13 1.5E-12 1.69E-12 6.6E-13 0
14 0 -0.65 0 -5.6E-13 -9.9E-13 -1.2E-13 4E-13 0
15 0 -0.7 0 -7.2E-13 9.7E-13 1.32E-12 4.5E-13 0
16 0 -0.75 0 -8.5E-13 -2E-12 -1.89E-12 5.3E-13 0
17 0 -0.8 0 -7.4E-13 1.87E-12 1.55E-12 6.1E-13 0
18 0 -0.85 0 -7.7E-13 -2.22E-12 -1.29E-12 6.8E-13 0
19 0 -0.9 0 -8.8E-13 1.58E-12 1.57E-12 6.7E-13 0
20 0 -0.95 0 -9.6E-13 -1.6E-12 -2.11E-12 6.9E-13 0
21 0 -1 0 -1.23E-12 2.1E-13 8.6E-13 7.2E-13 0
22 0 -1.05 0 -8.8E-13 -2.9E-13 -7.2E-13 9.4E-13 0
23 0 -1.1 0 -1.36E-12 1.21E-12 1.38E-12 9.6E-13 0
24 0 -1.15 0 -1.35E-12 -2.59E-12 -3.15E-12 1.09E-12 0
25 0 -1.2 0 -1.55E-12 1.96E-12 2.28E-12 1.22E-12 0
26 0 -1.25 0 -1.86E-12 -2.91E-12 -2.65E-12 1.32E-12 0
27 0 -1.3 0 -1.78E-12 1.82E-12 1.99E-12 1.62E-12 0
28 0 -1.35 0 -2.08E-12 -1.53E-12 -2.59E-12 1.88E-12 0
29 0 -1.4 0 -2.36E-12 1.54E-12 1.55E-12 2.14E-12 0
30 0 -1.45 0 -2.61E-12 -2.03E-12 -1.44E-12 2.4E-12 0
31 0 -1.5 0 -2.9E-12 1.84E-12 1.92E-12 2.69E-12 0
32 0 -1.55 0 -3.3E-12 -1.22E-12 -1.9E-12 3.06E-12 0
33 0 -1.6 0 -3.77E-12 1.71E-12 1.61E-12 3.44E-12 0
34 0 -1.65 0 -4.16E-12 -2.28E-12 -1.58E-12 3.95E-12 0
35 0 -1.7 0 -4.68E-12 1.46E-12 1.72E-12 4.5E-12 0
36 0 -1.75 0 -5.36E-12 -1.49E-12 -1.6E-12 5.07E-12 0
37 0 -1.8 0 -6.01E-12 1.62E-12 1.77E-12 5.76E-12 0
38 0 -1.85 0 -6.72E-12 -2.02E-12 -1.3E-12 6.44E-12 0
39 0 -1.9 0 -7.57E-12 -5.2E-13 -1.3E-12 7.31E-12 0
40 0 -1.95 0 -8.49E-12 1.28E-12 1.68E-12 8.2E-12 0
41 0 -2 0 -9.71E-12 -1.5E-12 -1.7E-12 9.37E-12 0
42 0 -2 0 -9.4E-12 -5.5E-13 -1.13E-12 9.32E-12 0
43 0 -1.95 0 -8.54E-12 -1.83E-12 -1.56E-12 8.3E-12 0
44 0 -1.9 0 -7.5E-12 1.01E-12 1.22E-12 7.33E-12 0
45 0 -1.85 0 -6.67E-12 -1.51E-12 -1.32E-12 6.55E-12 0
46 0 -1.8 0 -5.92E-12 1.19E-12 1.32E-12 5.79E-12 0
47 0 -1.75 0 -5.24E-12 -1.14E-12 -8.9E-13 5.18E-12 0
48 0 -1.7 0 -4.69E-12 9.3E-13 9.7E-13 4.56E-12 0
49 0 -1.65 0 -4.17E-12 -8.4E-13 -5.8E-13 4.1E-12 0
50 0 -1.6 0 -3.68E-12 7.7E-13 1.51E-12 3.56E-12 0
51 0 -1.55 0 -3.2E-12 -4.7E-13 -9.4E-13 3.23E-12 0
52 0 -1.5 0 -3E-12 5.9E-13 1.02E-12 2.72E-12 0
53 0 -1.45 0 -2.49E-12 -7.5E-13 -3.3E-13 2.48E-12 0
54 0 -1.4 0 -2.17E-12 8.3E-13 7.9E-13 2.23E-12 0
55 0 -1.35 0 -1.65E-12 1.68E-12 2.39E-12 1.95E-12 0
56 0 -1.3 0 -1.71E-12 -1.33E-12 -1.21E-12 1.72E-12 0
57 0 -1.25 0 -1.61E-12 5E-13 9.7E-13 1.59E-12 0
58 0 -1.2 0 -1.27E-12 -9.9E-13 -8.9E-13 1.32E-12 0
59 0 -1.15 0 -1.16E-12 1.5E-13 4.3E-13 1.22E-12 0
60 0 -1.1 0 -1.05E-12 -1.29E-12 -1.05E-12 1.08E-12 0
61 0 -1.05 0 -1E-12 1.11E-12 1.05E-12 9.7E-13 0
62 0 -1 0 -8.3E-13 2.4E-13 7.8E-13 8.9E-13 0
63 0 -0.95 0 -7.4E-13 -9.8E-13 -7.3E-13 7.6E-13 0
64 0 -0.9 0 -6.9E-13 6.2E-13 7.9E-13 7.7E-13 0
65 0 -0.85 0 -6.9E-13 -1.32E-12 -9.8E-13 6.9E-13 0
66 0 -0.8 0 -5.2E-13 8.8E-13 1.55E-12 6.6E-13 0
67 0 -0.75 0 -5.5E-13 -1.31E-12 -1.34E-12 5.3E-13 0
68 0 -0.7 0 -4.7E-13 6.5E-13 8.7E-13 5E-13 0
69 0 -0.65 0 -3.7E-13 -1.44E-12 -1.32E-12 4.8E-13 0
70 0 -0.6 0 -3.3E-13 5.4E-13 8.1E-13 4.3E-13 0
71 0 -0.55 0 -3E-13 -1.09E-12 -9.8E-13 4.7E-13 0
72 0 -0.5 0 -4E-13 5.4E-13 6.1E-13 4E-13 0
73 0 -0.45 0 -3.5E-13 -1.14E-12 -9.2E-13 4.5E-13 0
74 0 -0.4 0 -2.5E-13 -1.1E-13 1.6E-13 4.2E-13 0
75 0 -0.35 0 -2.9E-13 -6.4E-13 -3.4E-13 3.9E-13 0
76 0 -0.3 0 -2.6E-13 5.7E-13 7.3E-13 3.8E-13 0
77 0 -0.25 0 -1.5E-13 2.2E-13 3.2E-13 3.6E-13 0
78 0 -0.2 0 -2.5E-13 1.7E-13 3.3E-13 3.1E-13 0
79 0 -0.15 0 -7E-14 -3E-14 3.4E-13 3E-13 0
80 0 -0.1 0 -2.2E-13 -1E-13 1.4E-13 2.9E-13 0
81 0 -0.05 0 -1.1E-13 -6E-14 5E-14 1.8E-13 0
82 0 0 0 3E-14 -1.06E-12 -8.2E-13 6E-14 0
83 -0.5 0 0 6E-14 -4E-14 -7.3E-12 3E-14 0
84 -0.5 -0.05 0 -2.2E-13 -4.4E-13 -3.05E-12 2.7E-13 0
85 -0.5 -0.1 0 -2.1E-13 8E-14 -1.59E-12 3.1E-13 0
86 -0.5 -0.15 0 -3.1E-13 4E-14 -1.14E-12 3.5E-13 0
87 -0.5 -0.2 0 -3.1E-13 -1.8E-13 -1.07E-12 3.3E-13 0
88 -0.5 -0.25 0 -4.2E-13 -1.45E-12 -1.29E-12 3.4E-13 0
89 -0.5 -0.3 0 -4.1E-13 4E-13 -5.2E-13 3.5E-13 0
90 -0.5 -0.35 0 -4.3E-13 -2.2E-13 -8.2E-13 3.5E-13 0
91 -0.5 -0.4 0 -5.3E-13 -3.27E-12 -1.87E-12 2.8E-13 0
92 -0.5 -0.45 0 -2.7E-13 1E-13 -1.5E-13 3.8E-13 0
93 -0.5 -0.5 0 -5.8E-13 -5.4E-13 -7.2E-13 4.2E-13 0
94 -0.5 -0.55 0 -3.9E-13 3.4E-13 -4E-14 4.4E-13 0
95 -0.5 -0.6 0 -6.5E-13 -4.3E-13 -1.13E-12 4.3E-13 0
96 -0.5 -0.65 0 -4.4E-13 1.3E-13 1.2E-13 4.1E-13 0
97 -0.5 -0.7 0 -5.1E-13 3E-14 -3.9E-13 5E-13 0
98 -0.5 -0.75 0 -5.4E-13 -8E-14 -2.7E-13 3.9E-13 0
99 -0.5 -0.8 0 -5E-14 -4.3E-13 -1.6E-13 4.1E-13 0
100 -0.5 -0.85 0 -6.1E-13 2.2E-13 -9E-14 4.6E-13 0
