FET Vds-Id
VDS= 0 to -2 in -0.05 step
VG= 0 to -2 in -0.5 step
NO. VG VDS VS ID IS IG ISUB VSUB
 V V V A A A A V
74 0 -0.4 0 -5.2E-13 7.3E-13 1.11E-12 4.9E-13 0
75 0 -0.35 0 -4.8E-13 -1.32E-12 -1.27E-12 4.7E-13 0
76 0 -0.3 0 -3.2E-13 1.13E-12 1.06E-12 5.3E-13 0
77 0 -0.25 0 -2E-13 -4E-14 8.1E-13 4.8E-13 0
78 0 -0.2 0 -4.6E-13 1.67E-12 1.5E-12 5.1E-13 0
79 0 -0.15 0 -3.2E-13 -4.4E-13 -6.5E-13 5E-13 0
80 0 -0.1 0 -1.7E-13 1.27E-12 1.77E-12 5.2E-13 0
81 0 -0.05 0 -3.5E-13 -9.7E-13 -8.8E-13 3.8E-13 0
82 0 0 0 -4.3E-13 2E-14 -7.1E-13 2E-14 0
83 -0.5 0 0 -3.1E-13 -2.09E-12 -8.7E-12 -8E-14 0
84 -0.5 -0.05 0 -3.5E-13 3.2E-13 -2.72E-12 2.8E-13 0
85 -0.5 -0.1 0 -2.3E-13 0 -1.84E-12 4.5E-13 0
86 -0.5 -0.15 0 -6E-13 8.8E-13 -6.3E-13 5.3E-13 0
87 -0.5 -0.2 0 -4.1E-13 -4.3E-13 -1.32E-12 4.5E-13 0
88 -0.5 -0.25 0 -5.6E-13 8.3E-13 -5E-14 5.1E-13 0
89 -0.5 -0.3 0 -6.5E-13 -5.8E-13 -1.38E-12 4.5E-13 0
90 -0.5 -0.35 0 -6.7E-13 5E-13 -3.1E-13 5.4E-13 0
91 -0.5 -0.4 0 -6.5E-13 -4.8E-13 -1.04E-12 5.6E-13 0
92 -0.5 -0.45 0 -7.1E-13 6.3E-13 -1.5E-13 5.2E-13 0
93 -0.5 -0.5 0 -7.7E-13 -4.3E-13 -9.9E-13 5.3E-13 0
94 -0.5 -0.55 0 -6.7E-13 7.4E-13 6.7E-13 6.3E-13 0
95 -0.5 -0.6 0 -1.04E-12 -8.1E-13 -2.19E-12 6.2E-13 0
96 -0.5 -0.65 0 -8.3E-13 6.8E-13 1.3E-13 5.7E-13 0
97 -0.5 -0.7 0 -8.3E-13 -3.5E-13 -1.17E-12 6.4E-13 0
98 -0.5 -0.75 0 -7.8E-13 5.8E-13 3.1E-13 6.2E-13 0
99 -0.5 -0.8 0 -8.6E-13 -1.3E-13 -9.8E-13 6E-13 0
100 -0.5 -0.85 0 -8.9E-13 5.1E-13 2.6E-13 6.6E-13 0
101 -0.5 -0.9 0 -8.5E-13 -5E-13 -8.4E-13 6.2E-13 0
102 -0.5 -0.95 0 -9.4E-13 5.4E-13 -4E-14 6.5E-13 0
103 -0.5 -1 0 -9.7E-13 -2.6E-13 -8.4E-13 6.6E-13 0
104 -0.5 -1.05 0 -8.9E-13 2.1E-13 1.5E-13 7.2E-13 0
105 -0.5 -1.1 0 -9E-13 -5E-14 -2.1E-13 8E-13 0
106 -0.5 -1.15 0 -1.17E-12 2E-14 -1.5E-13 2E-13 0
107 -0.5 -1.2 0 -9.5E-13 -4E-14 -5.5E-13 7.7E-13 0
108 -0.5 -1.25 0 -1.24E-12 1.5E-13 -2E-14 7.3E-13 0
109 -0.5 -1.3 0 -1E-12 2.9E-13 -3E-13 8.5E-13 0
110 -0.5 -1.35 0 -1.16E-12 4.4E-13 6E-14 9E-13 0
111 -0.5 -1.4 0 -1.24E-12 -1.7E-13 -4.1E-13 9.3E-13 0
112 -0.5 -1.45 0 -1.26E-12 4E-13 2.5E-13 1.09E-12 0
113 -0.5 -1.5 0 -1.48E-12 -1.8E-13 -4.8E-13 1.12E-12 0
114 -0.5 -1.55 0 -1.58E-12 2.1E-13 4.9E-13 1.2E-12 0
115 -0.5 -1.6 0 -1.76E-12 -4.4E-13 -7.1E-13 1.35E-12 0
116 -0.5 -1.65 0 -1.86E-12 4.5E-13 3.8E-13 1.6E-12 0
117 -0.5 -1.7 0 -2.08E-12 -2.2E-13 -4E-13 1.72E-12 0
118 -0.5 -1.75 0 -2.28E-12 4.6E-13 1.1E-13 1.95E-12 0
119 -0.5 -1.8 0 -2.58E-12 -3.1E-13 -3.6E-13 2.15E-12 0
120 -0.5 -1.85 0 -2.81E-12 5.1E-13 9E-14 2.43E-12 0
121 -0.5 -1.9 0 -3.09E-12 -1.5E-13 -4.3E-13 2.75E-12 0
122 -0.5 -1.95 0 -3.44E-12 4.2E-13 2.4E-13 3.06E-12 0
123 -0.5 -2 0 -3.77E-12 -2.1E-13 -4.7E-13 3.46E-12 0
124 -0.5 -2 0 -3.8E-12 -8E-14 -4.1E-13 3.35E-12 0
125 -0.5 -1.95 0 -3.36E-12 8E-14 2E-14 3.06E-12 0
126 -0.5 -1.9 0 -2.98E-12 -4E-14 -2.8E-13 2.74E-12 0
127 -0.5 -1.85 0 -2.66E-12 2.8E-13 1.6E-13 2.41E-12 0
128 -0.5 -1.8 0 -2.4E-12 -3.8E-13 -5.1E-13 2.15E-12 0
129 -0.5 -1.75 0 -2.15E-12 2.5E-13 2.5E-13 2E-12 0
130 -0.5 -1.7 0 -1.93E-12 -1.9E-13 -3.6E-13 1.7E-12 0
131 -0.5 -1.65 0 -1.76E-12 2.3E-13 -1E-14 1.54E-12 0
132 -0.5 -1.6 0 -1.56E-12 -1.4E-13 -2.3E-13 1.43E-12 0
133 -0.5 -1.55 0 -1.48E-12 1.1E-13 3E-14 1.26E-12 0
134 -0.5 -1.5 0 -1.27E-12 -2.3E-13 -2.4E-13 1.18E-12 0
135 -0.5 -1.45 0 -1.24E-12 1.5E-13 -1.5E-13 1.11E-12 0
136 -0.5 -1.4 0 -8.9E-13 1E-14 0 9.1E-13 0
137 -0.5 -1.35 0 -9.8E-13 2.8E-13 -1E-14 8.4E-13 0
138 -0.5 -1.3 0 -9.3E-13 -1.4E-13 -2.4E-13 8.6E-13 0
139 -0.5 -1.25 0 -8.8E-13 1.9E-13 1.3E-13 7.8E-13 0
140 -0.5 -1.2 0 -8.3E-13 1E-14 -2.7E-13 7.5E-13 0
141 -0.5 -1.15 0 -7.1E-13 6.5E-13 5.4E-13 7.6E-13 0
142 -0.5 -1.1 0 -7.5E-13 6E-13 1.1E-13 7.2E-13 0
143 -0.5 -1.05 0 -8.9E-13 8E-14 -7.7E-13 7.3E-13 0
144 -0.5 -1 0 -6.9E-13 0 -1.6E-13 7.4E-13 0
145 -0.5 -0.95 0 -6.3E-13 4E-13 3.1E-13 6.2E-13 0
146 -0.5 -0.9 0 -6E-13 -1.3E-13 1.2E-13 6.2E-13 0
147 -0.5 -0.85 0 -4.1E-13 1.41E-12 1.03E-12 6.5E-13 0
148 -0.5 -0.8 0 -5.7E-13 7E-14 4E-14 7.1E-13 0
149 -0.5 -0.75 0 -5.4E-13 8.5E-13 1.5E-13 6E-13 0
150 -0.5 -0.7 0 -6.9E-13 -2.9E-13 -1.1E-13 6.1E-13 0
151 -0.5 -0.65 0 -5.9E-13 9E-14 3.2E-13 5.5E-13 0
152 -0.5 -0.6 0 -5.4E-13 -1E-13 -3E-13 5.6E-13 0
153 -0.5 -0.55 0 -5.9E-13 2E-13 -2.1E-13 5.7E-13 0
154 -0.5 -0.5 0 -5.5E-13 -1.3E-13 -2.7E-13 5.1E-13 0
155 -0.5 -0.45 0 -5.4E-13 1.3E-13 1E-13 6.1E-13 0
156 -0.5 -0.4 0 -5.6E-13 -1.1E-13 -1.3E-13 5.2E-13 0
157 -0.5 -0.35 0 -5.2E-13 9E-14 -8E-14 5E-13 0
158 -0.5 -0.3 0 -4.6E-13 -2E-14 -2.1E-13 4.7E-13 0
159 -0.5 -0.25 0 -4.7E-13 0 -1.4E-13 5.4E-13 0
160 -0.5 -0.2 0 -4.5E-13 1E-14 -2.5E-13 4.7E-13 0
161 -0.5 -0.15 0 -4E-13 -1.2E-13 -4E-14 5E-13 0
162 -0.5 -0.1 0 -3.9E-13 -2.3E-13 -9E-14 4E-13 0
163 -0.5 -0.05 0 -3.2E-13 -1.1E-13 -1.2E-13 3.1E-13 0
164 -0.5 0 0 1.5E-13 1.8E-13 -1E-13 1E-14 0
165 -1 0 0 1.20237E-08 -1.14367E-08 -9.47E-12 -7E-14 0
166 -1 -0.05 0 -3.61097E-07 3.62657E-07 -4.24E-12 -1.8E-13 0
167 -1 -0.1 0 -4.4817E-07 4.48238E-07 -3.57E-12 6.6E-13 0
168 -1 -0.15 0 -4.65042E-07 4.65104E-07 -2.16E-12 4.5E-13 0
169 -1 -0.2 0 -4.69112E-07 4.69156E-07 -2.17E-12 4.6E-13 0
170 -1 -0.25 0 -4.70891E-07 4.70871E-07 -1.44E-12 5.8E-13 0
171 -1 -0.3 0 -4.72176E-07 4.72189E-07 -7.8E-13 5.8E-13 0
172 -1 -0.35 0 -4.7332E-07 4.73333E-07 -3.4E-13 5.3E-13 0
173 -1 -0.4 0 -4.74339E-07 4.74417E-07 -2.8E-13 7.9E-13 0
174 -1 -0.45 0 -4.75286E-07 4.75328E-07 -1.15E-12 4.8E-13 0
175 -1 -0.5 0 -4.76187E-07 4.76229E-07 -9E-13 5.4E-13 0
176 -1 -0.55 0 -4.77113E-07 4.77175E-07 -7.4E-13 5.7E-13 0
177 -1 -0.6 0 -4.77947E-07 4.77953E-07 -7.6E-13 5.2E-13 0
178 -1 -0.65 0 -4.78662E-07 4.78712E-07 -7.7E-13 5.7E-13 0
179 -1 -0.7 0 -4.7944E-07 4.79451E-07 -9.9E-13 6.4E-13 0
180 -1 -0.75 0 -4.80155E-07 4.80175E-07 -6.5E-13 5.6E-13 0
