FET Vds-Id
VG= 0 to -2 in -0.02 step
VDS= -0.05 to -0.5 in -0.45 step
NO. VG VDS ID IG VSUB
 V V A A V
1 0 -0.05 -4.79E-12 8.4E-13 0
2 -0.02 -0.05 -4.71E-12 7.4E-13 0
3 -0.04 -0.05 -4.4E-12 -2.69E-12 0
4 -0.06 -0.05 -4.06E-12 -4.6E-13 0
5 -0.08 -0.05 -3.93E-12 -3.36E-12 0
6 -0.1 -0.05 -3.72E-12 -3E-14 0
7 -0.12 -0.05 -3.61E-12 -3.12E-12 0
8 -0.14 -0.05 -3.55E-12 -7.4E-13 0
9 -0.16 -0.05 -3.62E-12 -3.64E-12 0
10 -0.18 -0.05 -3.49E-12 -4.2E-13 0
11 -0.2 -0.05 -3.48E-12 -3.17E-12 0
12 -0.22 -0.05 -3.6E-12 -1.03E-12 0
13 -0.24 -0.05 -3.76E-12 -4.41E-12 0
14 -0.26 -0.05 -3.76E-12 -3.5E-13 0
15 -0.28 -0.05 -3.77E-12 -2.71E-12 0
16 -0.3 -0.05 -3.77E-12 -7.9E-13 0
17 -0.32 -0.05 -3.81E-12 -4.02E-12 0
18 -0.34 -0.05 -3.89E-12 -1.05E-12 0
19 -0.36 -0.05 -3.94E-12 -3.73E-12 0
20 -0.38 -0.05 -3.89E-12 -6.1E-13 0
21 -0.4 -0.05 -3.99E-12 -4.19E-12 0
22 -0.42 -0.05 -4.13E-12 -1.13E-12 0
23 -0.44 -0.05 -4.26E-12 -5.39E-12 0
24 -0.46 -0.05 -4.11E-12 -1.8E-12 0
25 -0.48 -0.05 -4.04E-12 -4.76E-12 0
26 -0.5 -0.05 -4E-12 -1.58E-12 0
27 -0.52 -0.05 -3.77E-12 -3.48E-12 0
28 -0.54 -0.05 -3.8E-12 -6E-14 0
29 -0.56 -0.05 -3.67E-12 -2.99E-12 0
30 -0.58 -0.05 -3.86E-12 -5.7E-13 0
31 -0.6 -0.05 -4.27E-12 -4.76E-12 0
32 -0.62 -0.05 -4.25E-12 -8E-13 0
33 -0.64 -0.05 -4.43E-12 -3.71E-12 0
34 -0.66 -0.05 -5E-12 -1.64E-12 0
35 -0.68 -0.05 -5.89E-12 -3.63E-12 0
36 -0.7 -0.05 -7.85E-12 -1.26E-12 0
37 -0.72 -0.05 -1.148E-11 -3.3E-12 0
38 -0.74 -0.05 -1.846E-11 -1.04E-12 0
39 -0.76 -0.05 -3.27E-11 -4.33E-12 0
40 -0.78 -0.05 -6.05E-11 -1.97E-12 0
41 -0.8 -0.05 -1.1517E-10 -3.94E-12 0
42 -0.82 -0.05 -2.2216E-10 -1.19E-12 0
43 -0.84 -0.05 -4.3374E-10 -1.8E-12 0
44 -0.86 -0.05 -8.4955E-10 -3.96E-12 0
45 -0.88 -0.05 -1.66639E-09 -1.88E-12 0
46 -0.9 -0.05 -3.26052E-09 -5.12E-12 0
47 -0.92 -0.05 -6.37389E-09 -2.15E-12 0
48 -0.94 -0.05 -1.23615E-08 -3.48E-12 0
49 -0.96 -0.05 -2.36797E-08 -1.75E-12 0
50 -0.98 -0.05 -4.41458E-08 -4.22E-12 0
51 -1 -0.05 -7.95068E-08 -1.37E-12 0
52 -1.02 -0.05 -1.36028E-07 -1.67E-12 0
53 -1.04 -0.05 -2.19623E-07 -3.83E-12 0
54 -1.06 -0.05 -3.32641E-07 -2.34E-12 0
55 -1.08 -0.05 -4.756E-07 -3.94E-12 0
56 -1.1 -0.05 -6.44454E-07 -1.27E-12 0
57 -1.12 -0.05 -8.34449E-07 -5.35E-12 0
58 -1.14 -0.05 -1.03994E-06 -2.39E-12 0
59 -1.16 -0.05 -1.25641E-06 -3.15E-12 0
60 -1.18 -0.05 -1.48121E-06 -2.26E-12 0
61 -1.2 -0.05 -1.71132E-06 -4.95E-12 0
62 -1.22 -0.05 -1.94301E-06 -2.35E-12 0
