FET Vds-Id
VG= 0 to -2 in -0.02 step
VDS= -0.05 to -0.5 in -0.45 step
NO. VG VDS ID IG VSUB
 V V A A V
1 0 -0.05 2.70409E-09 6.432E-11 -1
2 -0.02 -0.05 2.65287E-09 5.81E-11 -1
3 -0.04 -0.05 2.63353E-09 5.277E-11 -1
4 -0.06 -0.05 2.60105E-09 5.364E-11 -1
5 -0.08 -0.05 2.53502E-09 4.394E-11 -1
6 -0.1 -0.05 2.52464E-09 3.892E-11 -1
7 -0.12 -0.05 2.48238E-09 3.008E-11 -1
8 -0.14 -0.05 2.4784E-09 3.307E-11 -1
9 -0.16 -0.05 2.4106E-09 2.116E-11 -1
10 -0.18 -0.05 2.4143E-09 1.843E-11 -1
11 -0.2 -0.05 2.4179E-09 1.337E-11 -1
12 -0.22 -0.05 2.36188E-09 1.437E-11 -1
13 -0.24 -0.05 2.33552E-09 7.22E-12 -1
14 -0.26 -0.05 2.41135E-09 2.42E-12 -1
15 -0.28 -0.05 2.32783E-09 3.5E-13 -1
16 -0.3 -0.05 2.26627E-09 3.2E-12 -1
17 -0.32 -0.05 2.25102E-09 -7.76E-12 -1
18 -0.34 -0.05 2.27304E-09 -4.46E-12 -1
19 -0.36 -0.05 2.21672E-09 -2.64E-12 -1
20 -0.38 -0.05 2.2093E-09 -3.39E-12 -1
21 -0.4 -0.05 2.22528E-09 -9.88E-12 -1
22 -0.42 -0.05 2.23947E-09 -2.77E-12 -1
23 -0.44 -0.05 2.17901E-09 -5.76E-12 -1
24 -0.46 -0.05 2.16856E-09 -6.19E-12 -1
25 -0.48 -0.05 2.21666E-09 -9.73E-12 -1
26 -0.5 -0.05 2.16629E-09 -3.37E-12 -1
27 -0.52 -0.05 2.14604E-09 -9.88E-12 -1
28 -0.54 -0.05 2.22216E-09 -5.97E-12 -1
29 -0.56 -0.05 2.15887E-09 -9.37E-12 -1
30 -0.58 -0.05 2.14608E-09 -6.95E-12 -1
31 -0.6 -0.05 2.12575E-09 -8.57E-12 -1
32 -0.62 -0.05 2.13799E-09 -6.76E-12 -1
33 -0.64 -0.05 2.12426E-09 -9.84E-12 -1
34 -0.66 -0.05 2.1071E-09 -6.06E-12 -1
35 -0.68 -0.05 2.10135E-09 -8.98E-12 -1
36 -0.7 -0.05 2.11326E-09 -6.93E-12 -1
37 -0.72 -0.05 2.11274E-09 -8.57E-12 -1
38 -0.74 -0.05 2.0967E-09 -6.2E-12 -1
39 -0.76 -0.05 2.06493E-09 -9.39E-12 -1
40 -0.78 -0.05 2.0847E-09 -6.52E-12 -1
41 -0.8 -0.05 2.04441E-09 -9.46E-12 -1
42 -0.82 -0.05 2.01718E-09 -6.86E-12 -1
43 -0.84 -0.05 2.0392E-09 -1.087E-11 -1
