FET Vds-Id
VDS= 0 to -2 in -0.05 step
VG= 0 to -2 in -0.5 step
NO. VG VDS VS ID IS IG ISUB VSUB
 V V V A A A A V
1 0 0 0 -3E-14 1.74E-12 5.7E-13 -1.9E-12 0
2 0 -0.05 0 -3.5E-13 2.57E-12 4.5E-13 -1.43E-12 0
3 0 -0.1 0 -4.2E-13 1.7E-12 1.9E-13 -1.33E-12 0
4 0 -0.15 0 -6.3E-13 2.31E-12 2.7E-13 -1.38E-12 0
5 0 -0.2 0 -7.3E-13 9E-13 -4.5E-13 -1.25E-12 0
6 0 -0.25 0 -5.7E-13 2.49E-12 5E-13 -1.32E-12 0
7 0 -0.3 0 -8.1E-13 1.14E-12 -8.4E-13 -1.43E-12 0
8 0 -0.35 0 -8.7E-13 1.75E-12 -2E-13 -1.39E-12 0
9 0 -0.4 0 -7.6E-13 1.98E-12 -5.2E-13 -1.24E-12 0
10 0 -0.45 0 -7.2E-13 2.38E-12 5.9E-13 -1.18E-12 0
11 0 -0.5 0 -6.1E-13 1.81E-12 4.4E-13 -1.22E-12 0
12 0 -0.55 0 -7.4E-13 2.44E-12 7.6E-13 -1.19E-12 0
13 0 -0.6 0 -9.1E-13 1.78E-12 -2.5E-13 -1.15E-12 0
14 0 -0.65 0 -1.25E-12 3.43E-12 1.5E-13 -3E-13 0
15 0 -0.7 0 1.3E-12 4.66E-12 7.86E-12 -2.08E-12 0
16 0 -0.75 0 -1.36E-12 8.25E-12 1.32E-12 -5.5E-13 0
17 0 -0.8 0 -1.46E-12 -1.1E-13 -6.2E-13 -1.15E-12 0
18 0 -0.85 0 -1.26E-12 1.45E-12 -3.5E-13 -1.16E-12 0
19 0 -0.9 0 -1.81E-12 3.2E-13 -1.9E-12 -9.9E-13 0
20 0 -0.95 0 -1.31E-12 2.08E-12 -7.6E-13 -8.4E-13 0
21 0 -1 0 -1.52E-12 1.21E-12 -1.18E-12 -6.8E-13 0
22 0 -1.05 0 -1.03E-12 3.69E-12 2.59E-12 -5.3E-13 0
23 0 -1.1 0 -1.32E-12 2.78E-12 1.46E-12 -4.7E-13 0
24 0 -1.15 0 -1.79E-12 2.22E-12 5.8E-13 -3.8E-13 0
25 0 -1.2 0 -2.09E-12 8.1E-13 -1.02E-12 -2.8E-13 0
26 0 -1.25 0 -1.95E-12 3.19E-12 1.66E-12 1.4E-13 0
27 0 -1.3 0 -1.57E-12 5.66E-12 3.42E-12 6.4E-13 0
28 0 -1.35 0 -2.37E-12 4.13E-12 2.15E-12 3.8E-13 0
29 0 -1.4 0 -2.79E-12 2.19E-12 8.5E-13 8.4E-13 0
30 0 -1.45 0 -3.4E-12 1.61E-12 7E-14 1E-12 0
31 0 -1.5 0 -4.03E-12 5.1E-13 -1.88E-12 1.44E-12 0
32 0 -1.55 0 -4.23E-12 1.09E-12 -6.9E-13 1.76E-12 0
33 0 -1.6 0 -4.47E-12 1.14E-12 -6E-13 2.41E-12 0
34 0 -1.65 0 -5E-12 1.74E-12 3E-13 2.83E-12 0
35 0 -1.7 0 -5.61E-12 2.3E-12 -7E-14 3.49E-12 0
36 0 -1.75 0 -6.17E-12 2.18E-12 2.7E-13 4.08E-12 0
37 0 -1.8 0 -6.91E-12 1.83E-12 4.8E-13 4.82E-12 0
38 0 -1.85 0 -7.9E-12 2.18E-12 2.6E-13 5.58E-12 0
39 0 -1.9 0 -8.71E-12 2.3E-12 -9E-14 6.54E-12 0
40 0 -1.95 0 -9.66E-12 1.95E-12 -3.1E-13 7.5E-12 0
41 0 -2 0 -1.074E-11 1.91E-12 2.3E-13 8.54E-12 0
42 0 -2 0 -1.083E-11 1.04E-12 4E-13 8.52E-12 0
