FET Vds-Id
VG= 0 to -2 in -0.02 step
VDS= -0.05 to -0.5 in -0.45 step
NO. VG VDS ID IG VSUB
 V V A A V
1 0 -0.05 -6.5E-13 -1.7E-13 0
2 -0.02 -0.05 -8.6E-13 -1.79E-12 0
3 -0.04 -0.05 -7.3E-13 -1.03E-12 0
4 -0.06 -0.05 -7.2E-13 -2.09E-12 0
5 -0.08 -0.05 -6.7E-13 -1.39E-12 0
6 -0.1 -0.05 -7.6E-13 -3.19E-12 0
7 -0.12 -0.05 -4.3E-13 -1.11E-12 0
8 -0.14 -0.05 -5.1E-13 -2.43E-12 0
9 -0.16 -0.05 -6.3E-13 -1.4E-12 0
10 -0.18 -0.05 -6E-13 -2.26E-12 0
11 -0.2 -0.05 -7E-13 -1.81E-12 0
12 -0.22 -0.05 -6E-13 -2.47E-12 0
13 -0.24 -0.05 -5.7E-13 -1.4E-12 0
14 -0.26 -0.05 -5.6E-13 -2.32E-12 0
15 -0.28 -0.05 -6.1E-13 -1.92E-12 0
16 -0.3 -0.05 -6E-13 -3.34E-12 0
17 -0.32 -0.05 -7.8E-13 -2.36E-12 0
18 -0.34 -0.05 -6.7E-13 -2.55E-12 0
19 -0.36 -0.05 -7.5E-13 -2.16E-12 0
20 -0.38 -0.05 -7.6E-13 -2.8E-12 0
21 -0.4 -0.05 -7.2E-13 -2.86E-12 0
22 -0.42 -0.05 -6.9E-13 -2.81E-12 0
23 -0.44 -0.05 -6.9E-13 -2.25E-12 0
24 -0.46 -0.05 -7.1E-13 -2.44E-12 0
25 -0.48 -0.05 -7.2E-13 -2.45E-12 0
26 -0.5 -0.05 -6.7E-13 -2.82E-12 0
27 -0.52 -0.05 -6.7E-13 -1.83E-12 0
28 -0.54 -0.05 -6.7E-13 -2.73E-12 0
29 -0.56 -0.05 -7.7E-13 -2.45E-12 0
30 -0.58 -0.05 -1.12E-12 -3.11E-12 0
31 -0.6 -0.05 -1.52E-12 -2.35E-12 0
32 -0.62 -0.05 -2.6E-12 -3.12E-12 0
33 -0.64 -0.05 -3.94E-12 -2.05E-12 0
34 -0.66 -0.05 -7.15E-12 -3.77E-12 0
35 -0.68 -0.05 -1.345E-11 -2.01E-12 0
36 -0.7 -0.05 -2.563E-11 -2.51E-12 0
37 -0.72 -0.05 -4.956E-11 -2.59E-12 0
38 -0.74 -0.05 -9.583E-11 -2.94E-12 0
39 -0.76 -0.05 -1.8567E-10 -2.41E-12 0
40 -0.78 -0.05 -3.6001E-10 -3.02E-12 0
41 -0.8 -0.05 -6.9471E-10 -2.06E-12 0
42 -0.82 -0.05 -1.33531E-09 -2.72E-12 0
43 -0.84 -0.05 -2.56845E-09 -3.64E-12 0
44 -0.86 -0.05 -4.90609E-09 -2.22E-12 0
45 -0.88 -0.05 -9.36732E-09 -3.32E-12 0
46 -0.9 -0.05 -1.77426E-08 -2.08E-12 0
47 -0.92 -0.05 -3.35324E-08 -3.35E-12 0
48 -0.94 -0.05 -6.2745E-08 -3.6E-12 0
49 -0.96 -0.05 -1.16245E-07 -3.13E-12 0
50 -0.98 -0.05 -2.10849E-07 -3.09E-12 0
51 -1 -0.05 -3.72509E-07 -2.78E-12 0
52 -1.02 -0.05 -6.31583E-07 -4.29E-12 0
53 -1.04 -0.05 -1.020577E-06 -3.16E-12 0
54 -1.06 -0.05 -1.55525E-06 -3.39E-12 0
55 -1.08 -0.05 -2.245E-06 -2.81E-12 0
56 -1.1 -0.05 -3.07199E-06 -3.86E-12 0
57 -1.12 -0.05 -4.01073E-06 -3.53E-12 0
58 -1.14 -0.05 -5.02994E-06 -3.97E-12 0
59 -1.16 -0.05 -6.10871E-06 -3.29E-12 0
60 -1.18 -0.05 -7.22163E-06 -4.18E-12 0
61 -1.2 -0.05 -8.35389E-06 -3.4E-12 0
62 -1.22 -0.05 -9.48461E-06 -3.58E-12 0
63 -1.24 -0.05 -1.061471E-05 -3.73E-12 0
64 -1.26 -0.05 -1.17345E-05 -3.57E-12 0
65 -1.28 -0.05 -1.28388E-05 -4.47E-12 0
66 -1.3 -0.05 -1.39205E-05 -3.72E-12 0
67 -1.32 -0.05 -1.49852E-05 -3.36E-12 0
68 -1.34 -0.05 -1.60262E-05 -3.29E-12 0
69 -1.36 -0.05 -1.7046E-05 -4.4E-12 0
70 -1.38 -0.05 -1.80393E-05 -3.58E-12 0
71 -1.4 -0.05 -1.90114E-05 -4.33E-12 0
72 -1.42 -0.05 -1.99599E-05 -3.46E-12 0
73 -1.44 -0.05 -2.0886E-05 -4.38E-12 0
74 -1.46 -0.05 -2.1787E-05 -3.41E-12 0
75 -1.48 -0.05 -2.26699E-05 -4.36E-12 0
76 -1.5 -0.05 -2.35306E-05 -3.62E-12 0
77 -1.52 -0.05 -2.4371E-05 -4.2E-12 0
78 -1.54 -0.05 -2.51901E-05 -3.47E-12 0
79 -1.56 -0.05 -2.59913E-05 -3.7E-12 0
80 -1.58 -0.05 -2.67727E-05 -3.27E-12 0
81 -1.6 -0.05 -2.75374E-05 -4.25E-12 0
82 -1.62 -0.05 -2.82809E-05 -3.6E-12 0
83 -1.64 -0.05 -2.90094E-05 -4.59E-12 0
84 -1.66 -0.05 -2.97229E-05 -4.01E-12 0
85 -1.68 -0.05 -3.04209E-05 -2.37E-12 0
86 -1.7 -0.05 -3.10987E-05 -1.29E-12 0
87 -1.72 -0.05 -3.17657E-05 -2.26E-12 0
88 -1.74 -0.05 -3.24173E-05 -3.07E-12 0
89 -1.76 -0.05 -3.30565E-05 -4.51E-12 0
90 -1.78 -0.05 -3.36772E-05 -3.82E-12 0
91 -1.8 -0.05 -3.42885E-05 -4.04E-12 0
92 -1.82 -0.05 -3.48903E-05 -3.9E-12 0
93 -1.84 -0.05 -3.54755E-05 -4.4E-12 0
94 -1.86 -0.05 -3.60485E-05 -3.79E-12 0
95 -1.88 -0.05 -3.66133E-05 -5.37E-12 0
96 -1.9 -0.05 -3.71665E-05 -4.33E-12 0
97 -1.92 -0.05 -3.77087E-05 -5.2E-12 0
98 -1.94 -0.05 -3.82387E-05 -3.63E-12 0
99 -1.96 -0.05 -3.87605E-05 -4.78E-12 0
100 -1.98 -0.05 -3.92742E-05 -4.28E-12 0
101 -2 -0.05 -3.97769E-05 -4.1E-12 0
102 -2 -0.05 -3.97773E-05 -2.98E-12 0
103 -1.98 -0.05 -3.92725E-05 -2.51E-12 0
104 -1.96 -0.05 -3.87615E-05 -1.23E-12 0
105 -1.94 -0.05 -3.82384E-05 -1.3E-12 0
106 -1.92 -0.05 -3.77069E-05 -1.3E-13 0
107 -1.9 -0.05 -3.71655E-05 -8.5E-13 0
108 -1.88 -0.05 -3.66112E-05 3.7E-13 0
109 -1.86 -0.05 -3.60477E-05 4.1E-13 0
110 -1.84 -0.05 -3.54735E-05 6E-13 0
111 -1.82 -0.05 -3.48874E-05 3.5E-13 0
112 -1.8 -0.05 -3.42884E-05 1.14E-12 0
113 -1.78 -0.05 -3.36762E-05 8.6E-13 0
114 -1.76 -0.05 -3.30534E-05 2.28E-12 0
115 -1.74 -0.05 -3.24155E-05 1.08E-12 0
116 -1.72 -0.05 -3.17635E-05 1.2E-12 0
117 -1.7 -0.05 -3.10993E-05 1.18E-12 0
118 -1.68 -0.05 -3.04191E-05 2.65E-12 0
119 -1.66 -0.05 -2.97242E-05 2.1E-12 0
120 -1.64 -0.05 -2.90116E-05 1.68E-12 0
121 -1.62 -0.05 -2.82823E-05 1.83E-12 0
122 -1.6 -0.05 -2.7539E-05 1.53E-12 0
123 -1.58 -0.05 -2.67755E-05 1.34E-12 0
124 -1.56 -0.05 -2.59934E-05 1.81E-12 0
125 -1.54 -0.05 -2.51917E-05 1.7E-12 0
126 -1.52 -0.05 -2.43742E-05 1.8E-12 0
127 -1.5 -0.05 -2.35345E-05 1.15E-12 0
128 -1.48 -0.05 -2.26727E-05 1.92E-12 0
129 -1.46 -0.05 -2.17905E-05 2.16E-12 0
130 -1.44 -0.05 -2.0889E-05 2.18E-12 0
131 -1.42 -0.05 -1.9963E-05 1.84E-12 0
132 -1.4 -0.05 -1.90144E-05 1.88E-12 0
133 -1.38 -0.05 -1.80411E-05 2.58E-12 0
134 -1.36 -0.05 -1.70494E-05 2.46E-12 0
135 -1.34 -0.05 -1.60302E-05 2.31E-12 0
136 -1.32 -0.05 -1.49875E-05 2.36E-12 0
137 -1.3 -0.05 -1.39234E-05 1.88E-12 0
138 -1.28 -0.05 -1.28426E-05 2.19E-12 0
139 -1.26 -0.05 -1.17371E-05 2.78E-12 0
