FET Vds-Id
VDS= 0 to -2 in -0.05 step
VG= 0 to -2 in -0.5 step
NO. VG VDS VS ID IS IG ISUB VSUB
 V V V A A A A V
1 0 0 0 -1.5E-13 6.25E-12 -1.2E-13 -1E-13 0
2 0 -0.05 0 -1.6E-13 5.37E-12 -9E-14 2.7E-13 0
3 0 -0.1 0 -4.3E-13 5.51E-12 4.5E-13 2.9E-13 0
4 0 -0.15 0 -3.5E-13 5.33E-12 -3.3E-13 2.9E-13 0
5 0 -0.2 0 -3.9E-13 5.58E-12 3E-13 3.4E-13 0
6 0 -0.25 0 -4.3E-13 4.97E-12 -1.9E-13 2.9E-13 0
7 0 -0.3 0 -3.9E-13 5.89E-12 4.2E-13 3.2E-13 0
8 0 -0.35 0 -6.3E-13 4.75E-12 -4.9E-13 3.8E-13 0
9 0 -0.4 0 -3.6E-13 6.71E-12 1.03E-12 5.5E-13 0
10 0 -0.45 0 -3.5E-13 4.51E-12 3.1E-13 1.2E-13 0
11 0 -0.5 0 -7.1E-13 5.07E-12 -1.5E-13 2.6E-13 0
12 0 -0.55 0 -6.3E-13 4.84E-12 -5.4E-13 3.4E-13 0
13 0 -0.6 0 -1E-14 8.17E-12 3.39E-12 4.8E-13 0
14 0 -0.65 0 -7.5E-13 6.26E-12 -7.6E-13 5.1E-13 0
15 0 -0.7 0 -6.9E-13 6.08E-12 6.4E-13 3.4E-13 0
16 0 -0.75 0 -8E-13 3.46E-12 -1.42E-12 6.3E-13 0
17 0 -0.8 0 -5E-13 6.6E-12 2.22E-12 6.1E-13 0
18 0 -0.85 0 -8.5E-13 6.9E-12 4.5E-13 6.6E-13 0
19 0 -0.9 0 -1.2E-12 6.34E-12 5.6E-13 7.7E-13 0
20 0 -0.95 0 -9.9E-13 4.34E-12 -9.5E-13 8.9E-13 0
21 0 -1 0 -1.01E-12 7.12E-12 1.18E-12 1E-12 0
22 0 -1.05 0 -1.05E-12 4.38E-12 -2.9E-13 1.05E-12 0
23 0 -1.1 0 -1.61E-12 6.71E-12 9.7E-13 1.27E-12 0
24 0 -1.15 0 -1.62E-12 3.08E-12 -3.1E-13 1.3E-12 0
25 0 -1.2 0 -1.78E-12 6.63E-12 1.55E-12 1.7E-12 0
26 0 -1.25 0 -2.05E-12 3.64E-12 -8.3E-13 2.43E-12 0
27 0 -1.3 0 -2.16E-12 7.6E-12 1.55E-12 2.39E-12 0
28 0 -1.35 0 -2.37E-12 3.16E-12 4.2E-13 2.01E-12 0
29 0 -1.4 0 -3.77E-12 6.07E-12 -8.4E-13 2.82E-12 0
30 0 -1.45 0 -3.84E-12 3.83E-12 -1.7E-12 2.88E-12 0
31 0 -1.5 0 -3.9E-12 5.11E-12 1.1E-12 3.47E-12 0
32 0 -1.55 0 -3.96E-12 3.77E-12 6.3E-13 3.62E-12 0
33 0 -1.6 0 -4.37E-12 4.43E-12 0 3.98E-12 0
34 0 -1.65 0 -6.01E-12 3.49E-12 -2.29E-12 4.85E-12 0
35 0 -1.7 0 -5.92E-12 3.45E-12 -1.59E-12 5.44E-12 0
36 0 -1.75 0 -6.3E-12 5.59E-12 1.01E-12 6.01E-12 0
37 0 -1.8 0 -7.84E-12 4.26E-12 -2.4E-12 6.79E-12 0
38 0 -1.85 0 -8.1E-12 4.79E-12 3.8E-13 7.53E-12 0
39 0 -1.9 0 -8.43E-12 4.35E-12 3.6E-13 8.45E-12 0
40 0 -1.95 0 -9.8E-12 5.19E-12 6.6E-13 9.34E-12 0
41 0 -2 0 -1.085E-11 4.43E-12 -3.8E-13 1.054E-11 0
42 0 -2 0 -1.081E-11 4.63E-12 -5.7E-13 1.049E-11 0
43 0 -1.95 0 -9.51E-12 4.27E-12 1.32E-12 9.47E-12 0
44 0 -1.9 0 -8.6E-12 6.01E-12 1.38E-12 8.52E-12 0
45 0 -1.85 0 -7.67E-12 4.96E-12 9E-13 7.54E-12 0
46 0 -1.8 0 -6.81E-12 4.34E-12 3.7E-13 6.64E-12 0
47 0 -1.75 0 -5.99E-12 7.48E-12 5.52E-12 6.13E-12 0
48 0 -1.7 0 -5.27E-12 4.42E-12 3.8E-13 5.43E-12 0
49 0 -1.65 0 -5.24E-12 4.37E-12 1.18E-12 4.71E-12 0
50 0 -1.6 0 -4.35E-12 3.66E-12 -1E-12 4.4E-12 0
51 0 -1.55 0 -3.86E-12 5.48E-12 3.37E-12 3.9E-12 0
52 0 -1.5 0 -2.71E-12 7.44E-12 2.84E-12 3.6E-12 0
53 0 -1.45 0 -2.46E-12 5.67E-12 2.18E-12 3.11E-12 0
54 0 -1.4 0 -4.55E-12 1.32E-12 -4.36E-12 2.63E-12 0
55 0 -1.35 0 -1.48E-12 5.12E-12 2.97E-12 2.45E-12 0
56 0 -1.3 0 -2.19E-12 5.51E-12 1.23E-12 1.97E-12 0
57 0 -1.25 0 -2.37E-12 2.06E-12 -1.66E-12 1.72E-12 0
58 0 -1.2 0 -1.69E-12 5.25E-12 8.6E-13 1.62E-12 0
59 0 -1.15 0 -1.3E-12 3.65E-12 -2.8E-13 1.33E-12 0
60 0 -1.1 0 -1.1E-12 5.63E-12 1.22E-12 1.26E-12 0
61 0 -1.05 0 -8.3E-13 4.3E-12 3.2E-13 1.08E-12 0
62 0 -1 0 -8.2E-13 5.41E-12 1.24E-12 8.5E-13 0
63 0 -0.95 0 -1.03E-12 2.75E-12 -1.23E-12 6.6E-13 0
64 0 -0.9 0 -5.6E-13 5.01E-12 1.21E-12 6.8E-13 0
65 0 -0.85 0 -5.9E-13 3.8E-12 -8E-13 7.5E-13 0
66 0 -0.8 0 -5.6E-13 4.93E-12 1E-12 5.6E-13 0
67 0 -0.75 0 -4.4E-13 3.23E-12 -6.7E-13 6.1E-13 0
68 0 -0.7 0 -5E-13 5.22E-12 8.7E-13 4.8E-13 0
69 0 -0.65 0 -3.9E-13 3.43E-12 -6.7E-13 4.7E-13 0
70 0 -0.6 0 -3.5E-13 5.24E-12 1.04E-12 3.7E-13 0
71 0 -0.55 0 -2.3E-13 4.89E-12 4E-14 7E-13 0
72 0 -0.5 0 -5.2E-13 4.05E-12 5.7E-13 3.5E-13 0
73 0 -0.45 0 -2.6E-13 3.69E-12 -1.23E-12 6.1E-13 0
74 0 -0.4 0 -5.7E-13 4.4E-12 5.9E-13 3.7E-13 0
75 0 -0.35 0 -1.8E-13 4.62E-12 1.25E-12 3.1E-13 0
76 0 -0.3 0 -2.8E-13 3.12E-12 -7.4E-13 3.4E-13 0
77 0 -0.25 0 -7E-14 5.6E-12 1.84E-12 3.2E-13 0
78 0 -0.2 0 -1.4E-13 2.78E-12 -8.6E-13 2.5E-13 0
79 0 -0.15 0 -1.2E-13 4.73E-12 1.37E-12 2.7E-13 0
80 0 -0.1 0 -1E-14 3.63E-12 -3.7E-13 3.9E-13 0
81 0 -0.05 0 3E-14 5.63E-12 1.96E-12 1.8E-13 0
82 0 0 0 1.6E-13 2.11E-12 -1.09E-12 -2.7E-13 0
83 -0.5 0 0 -8.8E-13 3.8E-12 -6.99E-12 9E-14 0
84 -0.5 -0.05 0 -3.7E-13 3.37E-12 -5.17E-12 4.1E-13 0
85 -0.5 -0.1 0 -2.3E-13 5.41E-12 -9E-14 2.8E-13 0
86 -0.5 -0.15 0 -2E-13 3.04E-12 -2.28E-12 2.9E-13 0
87 -0.5 -0.2 0 -3.5E-13 4.03E-12 -2.38E-12 3.9E-13 0
88 -0.5 -0.25 0 1.7E-13 7.39E-12 2.97E-12 4.4E-13 0
89 -0.5 -0.3 0 -8.8E-13 1.94E-12 -3.77E-12 2.1E-13 0
90 -0.5 -0.35 0 -5.1E-13 3.77E-12 -4.1E-13 2.2E-13 0
91 -0.5 -0.4 0 -6.8E-13 1.92E-12 -2.88E-12 3.5E-13 0
92 -0.5 -0.45 0 -7.1E-13 9.6E-12 1.87E-12 9.3E-13 0
93 -0.5 -0.5 0 -2.6E-13 2.77E-12 -5.3E-13 3.8E-13 0
94 -0.5 -0.55 0 -1.34E-12 4.56E-12 -6.2E-13 4.1E-13 0
95 -0.5 -0.6 0 -4E-13 2.38E-12 -1.49E-12 2.9E-13 0
96 -0.5 -0.65 0 -9.4E-13 5.78E-12 3.4E-13 5E-13 0
97 -0.5 -0.7 0 -4.6E-13 2.76E-12 -1.41E-12 4.9E-13 0
98 -0.5 -0.75 0 -5.5E-13 5.33E-12 1.09E-12 4.3E-13 0
99 -0.5 -0.8 0 -6.4E-13 2.98E-12 -2E-12 4.8E-13 0
100 -0.5 -0.85 0 -1.04E-12 4.28E-12 -3.2E-13 4.9E-13 0
101 -0.5 -0.9 0 -6.3E-13 2.42E-12 -1.77E-12 4.7E-13 0
102 -0.5 -0.95 0 -6.5E-13 5.24E-12 1.17E-12 5.2E-13 0
103 -0.5 -1 0 -6.5E-13 2.34E-12 -1.15E-12 5.2E-13 0
104 -0.5 -1.05 0 -6.8E-13 5.34E-12 1.24E-12 5.7E-13 0
105 -0.5 -1.1 0 -7.6E-13 2.73E-12 -1.69E-12 5.4E-13 0
106 -0.5 -1.15 0 -7E-13 5E-12 1.31E-12 6.3E-13 0
107 -0.5 -1.2 0 -8.9E-13 2.42E-12 -1.46E-12 6.4E-13 0
108 -0.5 -1.25 0 -8.3E-13 5.45E-12 1.41E-12 7.2E-13 0
109 -0.5 -1.3 0 -1.02E-12 2.08E-12 -1.77E-12 6.4E-13 0
110 -0.5 -1.35 0 -9.2E-13 5.44E-12 1.3E-12 8E-13 0
111 -0.5 -1.4 0 -1.05E-12 2.47E-12 -1.89E-12 8.2E-13 0
112 -0.5 -1.45 0 -1.23E-12 5.4E-12 1.65E-12 9.1E-13 0
113 -0.5 -1.5 0 -1.19E-12 2.29E-12 -1.58E-12 1.06E-12 0
114 -0.5 -1.55 0 -1.42E-12 5.4E-12 1.52E-12 1.07E-12 0
115 -0.5 -1.6 0 -1.66E-12 2.43E-12 -1.92E-12 1.25E-12 0
116 -0.5 -1.65 0 -1.74E-12 5.35E-12 1.59E-12 1.56E-12 0
117 -0.5 -1.7 0 -2.02E-12 2.89E-12 -1.49E-12 1.84E-12 0
118 -0.5 -1.75 0 -2.11E-12 4.37E-12 2.07E-12 1.8E-12 0
119 -0.5 -1.8 0 -1.32E-12 7.34E-12 5.41E-12 2.92E-12 0
120 -0.5 -1.85 0 -9.2E-13 7.47E-12 7.01E-12 2.48E-12 0
121 -0.5 -1.9 0 -3.09E-12 3.03E-12 -2.5E-13 2.78E-12 0
122 -0.5 -1.95 0 -3.84E-12 4.17E-12 -2E-14 2.79E-12 0
123 -0.5 -2 0 -5.34E-12 -5.49E-12 -8.42E-12 3.3E-12 0
124 -0.5 -2 0 -3.64E-12 1.42E-12 -2.28E-12 3.43E-12 0
125 -0.5 -1.95 0 -3.36E-12 3.28E-12 8.8E-13 3.09E-12 0
126 -0.5 -1.9 0 -3.33E-12 4.4E-13 -2.89E-12 2.61E-12 0
127 -0.5 -1.85 0 -3.22E-12 2.56E-12 -1.23E-12 2.31E-12 0
128 -0.5 -1.8 0 -2.33E-12 1.58E-12 -1.99E-12 2.27E-12 0
129 -0.5 -1.75 0 -1.98E-12 5.87E-12 1.87E-12 2.04E-12 0
130 -0.5 -1.7 0 -1.86E-12 1.93E-12 -1.97E-12 1.75E-12 0
131 -0.5 -1.65 0 -1.59E-12 5.25E-12 2.23E-12 1.48E-12 0
132 -0.5 -1.6 0 -1.33E-12 1.8E-12 -1.68E-12 1.39E-12 0
133 -0.5 -1.55 0 -1E-12 6.33E-12 2.97E-12 1.2E-12 0
134 -0.5 -1.5 0 -1.11E-12 4.23E-12 1.21E-12 9.8E-13 0
135 -0.5 -1.45 0 -1.03E-12 1.48E-12 -2.14E-12 9.3E-13 0
136 -0.5 -1.4 0 -8.8E-13 4.51E-12 1.31E-12 7.7E-13 0
137 -0.5 -1.35 0 -8.3E-13 9.9E-13 -1.56E-12 5E-13 0
138 -0.5 -1.3 0 -7.5E-13 5.92E-12 1.02E-12 1E-12 0
139 -0.5 -1.25 0 3.4E-13 7.95E-12 4.31E-12 5.2E-13 0
140 -0.5 -1.2 0 -1.24E-12 -3E-13 -1.57E-12 4.8E-13 0
141 -0.5 -1.15 0 -6E-13 1.14E-12 -2.74E-12 5.4E-13 0
142 -0.5 -1.1 0 -1.8E-13 6.09E-12 2.53E-12 6.5E-13 0
143 -0.5 -1.05 0 -3.2E-13 2.08E-12 -1.45E-12 4.6E-13 0
144 -0.5 -1 0 -1.7E-13 7.13E-12 3.1E-12 6.2E-13 0
145 -0.5 -0.95 0 -7.5E-13 1.93E-12 1.8E-13 1.4E-13 0
146 -0.5 -0.9 0 -1.7E-13 2.78E-12 -1.08E-12 5.7E-13 0
147 -0.5 -0.85 0 -1.4E-13 8.22E-12 4.19E-12 -2E-14 0
148 -0.5 -0.8 0 1E-13 2.12E-12 -2.2E-13 4.1E-13 0
149 -0.5 -0.75 0 -3.5E-13 5.35E-12 1.86E-12 5.6E-13 0
150 -0.5 -0.7 0 -2.6E-13 1.07E-12 -1.84E-12 3.5E-13 0
