    Nsub = 2.7e17 cm-3

      Ns [1/m2]         Eeff [V/m]        mob. [m2/Vs]

   4.67514354897E+14   2.73030966121E+7   .00485893804236
   6.70510098315E+14   2.74077481695E+7   .00571879751947
   9.13295087925E+14   2.75329125047E+7   .00651196066426
   1.18884769205E+15   2.76749697157E+7   .00719297275732
   1.4909264603E+15   2.78307021119E+7   .00777667887469
   1.81407012359E+15   2.7997294214E+7   .00823573979728
   2.15437777544E+15   2.81727349654E+7   .00863219248806
   2.50794850935E+15   2.83550133094E+7   .00896408281066
   2.87166160014E+15   2.85425204007E+7   .00923096241708
   3.2431765039E+15   2.87340496052E+7   .00945461999677
   3.62093285805E+15   2.89287965004E+7   .00963731230503
   4.00493066258E+15   2.91267610862E+7   .00978977707577
   4.3943897362E+15   2.93275411514E+7   .00990647789043
   4.78696953501E+15   2.95299300618E+7   .0100050862479
   5.18188987771E+15   2.97335256062E+7   .0100976446001
   5.5807111269E+15   2.99391322073E+7   .0101625862537
   5.98265310128E+15   3.01463476537E+7   .0102087778534
   6.38693561956E+15   3.03547697341E+7   .010240273663
   6.79277850043E+15   3.05639962372E+7   .0102692218869
   7.1994015626E+15   3.07736249516E+7   .0103001148234
   7.60758498737E+15   3.09840580886E+7   .0103175439084
   8.01732877473E+15   3.11952956483E+7   .0103301219893
   8.42785274339E+15   3.14069354193E+7   .0103265066737
   8.83915689335E+15   3.16189774017E+7   .0103450134104
   9.2520214059E+15   3.18318238067E+7   .0103432098693
   9.66566609976E+15   3.20450724231E+7   .0103274768305
   1.00800909749E+16   3.22587232508E+7   .0103249410619
   1.04952960314E+16   3.24727762898E+7   .0103272611361
   1.09105010878E+16   3.26868293288E+7   .0103162328591
   1.13264863255E+16   3.29012845791E+7   .0103080670198
   1.17432517446E+16   3.31161420408E+7   .0102833169037
   1.21607973449E+16   3.33314017138E+7   .0102792619597
   1.25799033079E+16   3.35474658094E+7   .0102389122651
   1.29997894521E+16   3.37639321164E+7   .0102310898339
   1.34196755963E+16   3.39803984234E+7   .010219197658
   1.38403419219E+16   3.41972669417E+7   .0101879184266
   1.42617884287E+16   3.44145376714E+7   .0101743906112
   1.46832349355E+16   3.4631808401E+7   .0101362502837
   1.51046814424E+16   3.48490791307E+7   .0101219045624
   1.55261279492E+16   3.50663498603E+7   .0100991732474
   1.5947574456E+16   3.52836205899E+7   .0100776433732
   1.63698011442E+16   3.55012935309E+7   .0100567428157
   1.67928080136E+16   3.57193686832E+7   .0100321904517
   1.7215814883E+16   3.59374438355E+7   .0099964472188
   1.76388217524E+16   3.61555189878E+7   .00998258518328
   1.80618286219E+16   3.63735941401E+7   .00995361681759
   1.84848354913E+16   3.65916692924E+7   .00993367181297
   1.89078423607E+16   3.68097444447E+7   .00991461922894
   1.93308492301E+16   3.7027819597E+7   .00988903982552
   1.97538560996E+16   3.72458947493E+7   .00985375137912
   2.0176862969E+16   3.74639699017E+7   .00983052060865
   2.05998698384E+16   3.7682045054E+7   .00982136760671
   2.10228767078E+16   3.79001202063E+7   .00978686366262
   2.14466637586E+16   3.81185975699E+7   .0097626543265
   2.18712309906E+16   3.83374771449E+7   .00973903578719
   2.22957982226E+16   3.85563567198E+7   .00971312585026
   2.27195852733E+16   3.87748340835E+7   .00968225416323
   2.31425921428E+16   3.89929092358E+7   .00965529780918
   2.35655990122E+16   3.92109843881E+7   .00963957369888
   2.39893860629E+16   3.94294617517E+7   .00960866980956
   2.44139532949E+16   3.96483413267E+7   .0096018452561
   2.4838520527E+16   3.98672209016E+7   .00956661145887
   2.52638679403E+16   4.00865026879E+7   .0095294515185
   2.56892153536E+16   4.03057844742E+7   .00950183034099
   2.61137825856E+16   4.05246640492E+7   .00948084077661
   2.65383498176E+16   4.07435436241E+7   .00946802902876
   2.69629170497E+16   4.09624231991E+7   .00943292895603
   2.73874842817E+16   4.11813027741E+7   .00940359296221
   2.7812831695E+16   4.14005845604E+7   .00938000554856
   2.82389592896E+16   4.1620268558E+7   .00936442825846
   2.86650868842E+16   4.18399525556E+7   .00933194081004
   2.90912144789E+16   4.20596365532E+7   .00931018729011
   2.95173420735E+16   4.22793205508E+7   .00928375933404
   2.99434696681E+16   4.24990045485E+7   .00926093470083
   3.03695972627E+16   4.27186885461E+7   .00924109319136
   3.0794944676E+16   4.29379703324E+7   .00921972417218
   3.12202920894E+16   4.31572521187E+7   .00918799932454
   3.1646419684E+16   4.33769361163E+7   .00917443661604
   3.20725472786E+16   4.35966201139E+7   .00915236143959
   3.24978946919E+16   4.38159019002E+7   .00911532225403
   3.29232421052E+16   4.40351836865E+7   .0090991203999
   3.33493696999E+16   4.42548676841E+7   .00906391974044
   3.37754972945E+16   4.44745516817E+7   .00904645829524
   3.42016248891E+16   4.46942356794E+7   .00901903130987
   3.46277524837E+16   4.4913919677E+7   .0089967993273
   3.50538800783E+16   4.51336036746E+7   .00898079062487
   3.54800076729E+16   4.53532876722E+7   .00895113019248
   3.59061352676E+16   4.55729716699E+7   .00892415515387
   3.63330430435E+16   4.57930578788E+7   .00890114639855
   3.67607310007E+16   4.60135462991E+7   .00887925775747
   3.71876387766E+16   4.6233632508E+7   .00885920627749
   3.76137663712E+16   4.64533165057E+7   .00883109271404
   3.80398939658E+16   4.66730005033E+7   .0088200671544
   3.84660215605E+16   4.68926845009E+7   .00879966834949
   3.88921491551E+16   4.71123684985E+7   .00876727758128
   3.9319056931E+16   4.73324547075E+7   .00875531896152
   3.97467448882E+16   4.75529431278E+7   .0087344959624
   4.01744328454E+16   4.7773431548E+7   .00870561612244
   4.06021208026E+16   4.79939199683E+7   .00868049869821
   4.10298087599E+16   4.82144083886E+7   .00866075998863
   4.14574967171E+16   4.84348968089E+7   .00864039889955
   4.18851846743E+16   4.86553852292E+7   .00860788439287
   4.23128726315E+16   4.88758736495E+7   .00859351349518
   4.27405605887E+16   4.90963620697E+7   .0085757681925
   4.31682485459E+16   4.931685049E+7   .00855507839219
   4.35959365031E+16   4.95373389103E+7   .00853153075323
   4.40236244603E+16   4.97578273306E+7   .00850036045268
   4.44513124176E+16   4.99783157509E+7   .00848099338762
   4.48790003748E+16   5.01988041711E+7   .00847436030023
   4.53059081507E+16   5.04188903801E+7   .00844004692739
   4.57320357453E+16   5.06385743777E+7   .0084286080671
   4.61581633399E+16   5.08582583753E+7   .00840443344114
   4.65842909345E+16   5.1077942373E+7   .00838100652906
   4.70111987105E+16   5.12980285819E+7   .0083657349786
   4.74388866677E+16   5.15185170022E+7   .00834130284873
   4.78665746249E+16   5.17390054225E+7   .00832473879659
   4.82942625821E+16   5.19594938428E+7   .00830257559222
   4.8721170358E+16   5.21795800517E+7   .00828502272224
   4.91472979526E+16   5.23992640493E+7   .0082641423655
   4.95734255473E+16   5.2618948047E+7   .00824448205164
   5.00003333232E+16   5.28390342559E+7   .00822246734975
   5.04280212804E+16   5.30595226762E+7   .00820775251646
   5.08557092376E+16   5.32800110965E+7   .00817509902079
   5.12833971948E+16   5.35004995168E+7   .0081596373907
   5.1711085152E+16   5.3720987937E+7   .00814195508718
   5.21387731092E+16   5.39414763573E+7   .00813793506897
   5.25664610665E+16   5.41619647776E+7   .00811503275737
   5.29941490237E+16   5.43824531979E+7   .00808820415855
   5.34218369809E+16   5.46029416182E+7   .00805940800475
   5.38495249381E+16   5.48234300384E+7   .00803926045902
   5.42772128953E+16   5.50439184587E+7   .00802939212611
   5.47049008525E+16   5.5264406879E+7   .00800979427803
   5.51325888097E+16   5.54848952993E+7   .0079938555643
   5.5560276767E+16   5.57053837196E+7   .00796689400537
   5.59879647242E+16   5.59258721398E+7   .0079530513519
   5.64148725001E+16   5.61459583488E+7   .00793221409495
