    Nsub = 7.8e15 cm-3

      Ns [1/m2]         Eeff [V/m]        mob. [m2/Vs]

   5.67971984875E+14   4.35192274228E+6   .0186004664296
   8.4571652693E+14   4.49510997561E+6   .0201661767655
   1.1562286835E+15   4.65519008477E+6   .0208308834646
   1.48702555381E+15   4.82572768851E+6   .021194502088
   1.83342605008E+15   5.00430951883E+6   .0213436920632
   2.19074908452E+15   5.18852230777E+6   .0213007726417
   2.55587393194E+15   5.37675721E+6   .0211997742612
   2.92724022974E+15   5.56820980288E+6   .0210520114739
   3.30328761533E+15   5.76207566372E+6   .0209101438913
   3.68245572612E+15   5.95755036989E+6   .0207554646051
   4.06474456209E+15   6.15463392138E+6   .0205749765783
   4.45015412326E+15   6.35332631818E+6   .0204040991019
   4.83868440961E+15   6.5536275603E+6   .0202082302783
   5.23033542116E+15   6.75553764774E+6   .0200041592806
   5.62354679531E+15   6.95825215784E+6   .0198477307259
   6.01831853205E+15   7.1617710906E+6   .0196426141029
   6.41465063138E+15   7.36609444602E+6   .019433398035
   6.81254309331E+15   7.57122222409E+6   .0192580299239
   7.21199591784E+15   7.77715442483E+6   .0190926285016
   7.61144874237E+15   7.98308662556E+6   .0189213510392
   8.01246192949E+15   8.18982324896E+6   .0187390610386
   8.41503547921E+15   8.39736429501E+6   .018619495227
   8.81760902893E+15   8.60490534106E+6   .0184170034309
   9.22018257865E+15   8.81244638712E+6   .0182774097905
   9.62275612837E+15   9.01998743317E+6   .018137024035
   1.00268900407E+16   9.22833290188E+6   .0179698322896
   1.04325843156E+16   9.43748279326E+6   .0178425991404
   1.08382785905E+16   9.64663268463E+6   .017675935338
   1.12439728654E+16   9.855782576E+6   .0175465783596
   1.16496671403E+16   1.00649324674E+7   .0174208088305
   1.20553614152E+16   1.02740823587E+7   .0173066480504
   1.24626160527E+16   1.04840366728E+7   .0171739455119
   1.28698706903E+16   1.06939909868E+7   .0170383529078
   1.32755649652E+16   1.09031408782E+7   .016907356451
   1.36828196027E+16   1.11130951922E+7   .016803450628
   1.40916346028E+16   1.13238539289E+7   .0166727720599
   1.45004496029E+16   1.15346126656E+7   .016535522312
   1.4909264603E+16   1.17453714023E+7   .0164358800124
   1.53180796031E+16   1.1956130139E+7   .0163254741199
   1.57268946032E+16   1.21668888757E+7   .0162260295271
   1.61357096033E+16   1.23776476124E+7   .0161261434433
   1.65445246034E+16   1.2588406349E+7   .016015921924
   1.69533396035E+16   1.27991650857E+7   .015907290312
   1.73637149662E+16   1.30107282451E+7   .0157896218778
   1.77756506915E+16   1.32230958271E+7   .0157044390039
   1.81860260542E+16   1.34346589864E+7   .0155945845653
   1.85964014169E+16   1.36462221458E+7   .0155187900643
   1.90083371422E+16   1.38585897278E+7   .0154323728681
   1.94202728675E+16   1.40709573098E+7   .0153340093408
   1.98322085928E+16   1.42833248918E+7   .015231769465
   2.02441443181E+16   1.44956924738E+7   .0151542838739
   2.06560800434E+16   1.47080600558E+7   .015060317644
   2.10680157686E+16   1.49204276378E+7   .0149709254542
   2.14799514939E+16   1.51327952198E+7   .0148943721878
   2.18918872192E+16   1.53451628019E+7   .014795597186
   2.23038229445E+16   1.55575303839E+7   .014706984573
   2.27157586698E+16   1.57698979659E+7   .0146329867809
   2.31276943951E+16   1.59822655479E+7   .0145621712302
   2.3541190483E+16   1.61954375525E+7   .0144837505468
   2.39546865709E+16   1.64086095572E+7   .0144048729121
   2.43666222962E+16   1.66209771392E+7   .0143303674381
   2.47801183841E+16   1.68341491439E+7   .0142551472401
   2.5193614472E+16   1.70473211486E+7   .0141919236536
   2.56071105599E+16   1.72604931532E+7   .0141179148311
   2.60206066478E+16   1.74736651579E+7   .0140319356592
   2.64341027356E+16   1.76868371626E+7   .0139737368517
   2.68491591861E+16   1.79008135899E+7   .0139071114096
   2.72642156366E+16   1.81147900172E+7   .0138464530986
   2.76777117245E+16   1.83279620219E+7   .0137717311597
   2.80896474498E+16   1.85403296039E+7   .0137058166945
   2.85031435377E+16   1.87535016086E+7   .0136579032203
   2.89181999882E+16   1.89674780359E+7   .0135859429417
   2.93332564387E+16   1.91814544632E+7   .0135220486091
   2.97483128892E+16   1.93954308905E+7   .0134501697926
   3.01633693396E+16   1.96094073179E+7   .0133735678882
   3.05784257901E+16   1.98233837452E+7   .013332716581
   3.09934822406E+16   2.00373601725E+7   .0132479185691
   3.14085386911E+16   2.02513365998E+7   .0132045784701
   3.18235951416E+16   2.04653130272E+7   .0131466882973
   3.22386515921E+16   2.06792894545E+7   .0130908765375
   3.26537080426E+16   2.08932658818E+7   .0130231360685
   3.3068764493E+16   2.11072423092E+7   .0129641636049
   3.34838209435E+16   2.13212187365E+7   .0129138217362
