   Nsub = 2.0e16 cm-3

      Ns [1/m2]         Eeff [V/m]        mob. [m2/Vs]

   4.14914599341E+14   6.94495667101E+6   .0598541263436
   6.74218492536E+14   7.14547730113E+6   .0669285103149
   9.80333263605E+14   7.38219695091E+6   .0704148664468
   1.31765528659E+15   7.64304928047E+6   .0721953044306
   1.67526202332E+15   7.91958785187E+6   .0728741437288
   2.04613184212E+15   8.20638281219E+6   .0729494010857
   2.42636383649E+15   8.50041757643E+6   .072884438356
   2.81439764384E+15   8.80048551061E+6   .0725696890432
   3.20867290157E+15   9.10537998075E+6   .0721713742086
   3.60684906579E+15   9.41329103587E+6   .0716292444853
   4.00814595521E+15   9.72361535896E+6   .0711057634597
   4.41256356981E+15   1.003635295E+7   .0706053061985
   4.81932172831E+15   1.03509004921E+7   .0700604764897
   5.2284204307E+15   1.06672579851E+7   .0694447673584
   5.63985967699E+15   1.09854254291E+7   .0689181350211
   6.05285928587E+15   1.13047995071E+7   .068348044475
   6.46741925735E+15   1.16253802191E+7   .0678211149451
   6.88275941013E+15   1.19465642481E+7   .0673714520188
   7.2988797442E+15   1.22683515941E+7   .0668782877953
   7.71656044087E+15   1.25913455741E+7   .0662115542262
   8.13502131884E+15   1.2914942871E+7   .0658410729558
   8.5542623781E+15   1.3239143485E+7   .0653428919258
   8.97428361867E+15   1.35639474159E+7   .06489930872
   9.39508504053E+15   1.38893546639E+7   .0644900351116
   9.81666664369E+15   1.42153652288E+7   .0640406750889
   1.02390284281E+16   1.45419791108E+7   .0636618681097
   1.06621703939E+16   1.48691963097E+7   .0632853976822
   1.10853123597E+16   1.51964135086E+7   .0628911222746
   1.15092345067E+16   1.55242340246E+7   .0625109276441
   1.19339368351E+16   1.58526578575E+7   .0621402995278
   1.23586391634E+16   1.61810816904E+7   .0617722813838
   1.27841216731E+16   1.65101088403E+7   .0613865291664
   1.3210384364E+16   1.68397393072E+7   .0610917700066
   1.3636647055E+16   1.71693697741E+7   .0607109352047
   1.40629097459E+16   1.7499000241E+7   .0604291891385
   1.44891724368E+16   1.78286307079E+7   .0601809783128
   1.49154351278E+16   1.81582611749E+7   .0598275251674
   1.5342478E+16   1.84884949588E+7   .0595091044829
   1.57703010536E+16   1.88193320597E+7   .0593054919019
   1.61989042884E+16   1.91507724775E+7   .0590096802175
   1.66275075233E+16   1.94822128954E+7   .058647845982
   1.70553305768E+16   1.98130499963E+7   .0584638912884
   1.74831536303E+16   2.01438870972E+7   .0582292115201
   1.79117568652E+16   2.04753275151E+7   .0579380588484
   1.83411402813E+16   2.080737125E+7   .0576868634888
   1.87705236975E+16   2.11394149849E+7   .0573784391262
   1.92006872949E+16   2.14720620368E+7   .0572030574306
   1.96308508923E+16   2.18047090887E+7   .0569314780354
   2.00602343085E+16   2.21367528235E+7   .0567141686655
   2.04896177246E+16   2.24687965584E+7   .0564645963928
   2.09190011407E+16   2.28008402933E+7   .0562728384647
   2.13491647382E+16   2.31334873452E+7   .0560470393601
   2.17801085169E+16   2.34667377141E+7   .0557689344473
   2.22110522957E+16   2.37999880829E+7   .055620539459
   2.26419960744E+16   2.41332384518E+7   .055435471961
   2.30729398531E+16   2.44664888207E+7   .0551721261717
   2.35038836319E+16   2.47997391896E+7   .0551954599425
   2.39348274106E+16   2.51329895584E+7   .0550229095737
   2.43657711893E+16   2.54662399273E+7   .0547304139513
   2.47967149681E+16   2.57994902962E+7   .0545967148262
   2.52284389281E+16   2.61333439821E+7   .054514594542
   2.56609430694E+16   2.64678009849E+7   .0542660209333
   2.60926670295E+16   2.68016546708E+7   .0540743856469
   2.65243909895E+16   2.71355083567E+7   .0539584630757
   2.69568951308E+16   2.74699653595E+7   .0537307623695
   2.73893992721E+16   2.78044223624E+7   .0534429725916
   2.78219034135E+16   2.81388793653E+7   .0533628336051
   2.82544075548E+16   2.84733363681E+7   .0532416677396
   2.86869116961E+16   2.8807793371E+7   .0530813306456
   2.91194158375E+16   2.91422503738E+7   .0528202846389
   2.95519199788E+16   2.94767073767E+7   .052650022211
   2.99844241201E+16   2.98111643796E+7   .0525051574339
   3.04169282615E+16   3.01456213824E+7   .05232402332
   3.08494324028E+16   3.04800783853E+7   .0522276137667
   3.12819365441E+16   3.08145353882E+7   .0519767812567
   3.17144406854E+16   3.1148992391E+7   .0519264734069
   3.21469448268E+16   3.14834493939E+7   .051724657303
   3.25802291494E+16   3.18185097137E+7   .0515269656465
   3.30142936533E+16   3.21541733506E+7   .0514262787876
   3.3447577976E+16   3.24892336705E+7   .0512008493771
   3.38808622986E+16   3.28242939903E+7   .0511262246956
   3.43141466212E+16   3.31593543102E+7   .0508923761123
   3.47474309438E+16   3.349441463E+7   .0508234590193
   3.51814954478E+16   3.38300782669E+7   .0505979773459
   3.56155599517E+16   3.41657419037E+7   .050429732278
   3.60496244556E+16   3.45014055406E+7   .0503336954663
   3.64836889595E+16   3.48370691774E+7   .0501220887535
   3.69177534635E+16   3.51727328143E+7   .0499653734766
   3.73518179674E+16   3.55083964511E+7   .0498287456986
   3.77858824713E+16   3.5844060088E+7   .0496464882853
   3.82199469752E+16   3.61797237249E+7   .0495648002448
   3.86540114792E+16   3.65153873617E+7   .0494531645935
   3.90880759831E+16   3.68510509986E+7   .049249720407
   3.9522140487E+16   3.71867146354E+7   .0491129132463
   3.9956204991E+16   3.75223782723E+7   .048948332057
   4.03894893136E+16   3.78574385921E+7   .0488338555974
   4.08227736362E+16   3.8192498912E+7   .0486315278941
   4.12568381401E+16   3.85281625488E+7   .0484623112676
   4.16909026441E+16   3.88638261857E+7   .0483555524867
   4.2124967148E+16   3.91994898225E+7   .0482364120907
   4.25590316519E+16   3.95351534594E+7   .0480619698522
   4.29930961558E+16   3.98708170962E+7   .0479481992261
   4.34271606598E+16   4.02064807331E+7   .0477942694239
   4.38612251637E+16   4.05421443699E+7   .0476433862973
   4.42952896676E+16   4.08778080068E+7   .0474677257049
   4.47293541715E+16   4.12134716436E+7   .047350405283
   4.51634186755E+16   4.15491352805E+7   .0472353399885
   4.55974831794E+16   4.18847989173E+7   .0470955228996
   4.60315476833E+16   4.22204625542E+7   .0469449984529
   4.64656121872E+16   4.25561261911E+7   .0468105058655
   4.69004568725E+16   4.28923931449E+7   .0466646292876
   4.7336081739E+16   4.32292634157E+7   .0465076896631
   4.77717066055E+16   4.35661336866E+7   .0463664704134
   4.8207331472E+16   4.39030039574E+7   .0462023195103
   4.86421761573E+16   4.42392709113E+7   .046067103283
   4.90762406612E+16   4.45749345481E+7   .045947529795
   4.95103051651E+16   4.4910598185E+7   .0458052397063
   4.99451498503E+16   4.52468651388E+7   .0456524109616
   5.03807747169E+16   4.55837354097E+7   .0455259003247
   5.08163995834E+16   4.59206056805E+7   .0453652954933
   5.12512442686E+16   4.62568726343E+7   .0452440645614
   5.16853087725E+16   4.65925362712E+7   .045101785602
   5.21201534577E+16   4.6928803225E+7   .0449140619917
   5.25557783243E+16   4.72656734959E+7   .0448222823658
   5.29906230095E+16   4.76019404497E+7   .0446978949765
   5.34246875134E+16   4.79376040866E+7   .0445531881938
   5.38595321986E+16   4.82738710404E+7   .0444557896495
   5.42951570652E+16   4.86107413113E+7   .0442235546336
   5.47307819317E+16   4.89476115821E+7   .044116227286
   5.51664067982E+16   4.9284481853E+7   .0439571489226
   5.56020316647E+16   4.96213521238E+7   .0438690568364
   5.60376565312E+16   4.99582223946E+7   .0437362961622
   5.64725012165E+16   5.02944893485E+7   .0435278711678
   5.69073459017E+16   5.06307563023E+7   .0434672704814
   5.73429707682E+16   5.09676265732E+7   .0433063059117
   5.77785956347E+16   5.1304496844E+7   .0431605259784
   5.82142205013E+16   5.16413671149E+7   .0430401414359
   5.86498453678E+16   5.19782373857E+7   .0428461376921
   5.90854702343E+16   5.23151076565E+7   .0427069748985
   5.95210951008E+16   5.26519779274E+7   .0425904890498
   5.99567199673E+16   5.29888481982E+7   .042455205929
   6.03915646526E+16   5.33251151521E+7   .0422898733286
   6.08264093378E+16   5.36613821059E+7   .042110747035
   6.12620342043E+16   5.39982523767E+7   .0420519446133
   6.16976590708E+16   5.43351226476E+7   .0418326870293
   6.21332839374E+16   5.46719929184E+7   .041707456005
   6.25689088039E+16   5.50088631893E+7   .0415545169847
   6.30045336704E+16   5.53457334601E+7   .0414329410194
   6.34401585369E+16   5.5682603731E+7   .0413420820265
   6.38757834034E+16   5.60194740018E+7   .0411774543537
   6.431140827E+16   5.63563442726E+7   .0411067491282
   6.47462529552E+16   5.66926112265E+7   .0409255417902
   6.51810976404E+16   5.70288781803E+7   .0407467522406
   6.56167225069E+16   5.73657484512E+7   .0406185286077
   6.60523473735E+16   5.7702618722E+7   .0404808368508
   6.648797224E+16   5.80394889928E+7   .0403357107925
   6.69235971065E+16   5.83763592637E+7   .040218173755
   6.7359221973E+16   5.87132295345E+7   .0400693282238
   6.77948468395E+16   5.90500998054E+7   .039982194877
   6.82304717061E+16   5.93869700762E+7   .039780940147
   6.86660965726E+16   5.97238403471E+7   .0397361023197
   6.91017214391E+16   6.00607106179E+7   .0395389364483
   6.95373463056E+16   6.03975808887E+7   .0393884082257
   6.99729711722E+16   6.07344511596E+7   .0392924250761
   7.04078158574E+16   6.10707181134E+7   .0391178008675
   7.08426605426E+16   6.14069850673E+7   .039018154295
   7.12782854091E+16   6.17438553381E+7   .0388986150556
   7.17139102756E+16   6.20807256089E+7   .0387068659903
   7.21495351422E+16   6.24175958798E+7   .0385668115528
   7.25851600087E+16   6.27544661506E+7   .0384453633075
   7.30207848752E+16   6.30913364215E+7   .0383085399974
   7.34564097417E+16   6.34282066923E+7   .038196753614
   7.38920346083E+16   6.37650769632E+7   .0380630092263
   7.43276594748E+16   6.4101947234E+7   .0379407495455
   7.47632843413E+16   6.44388175048E+7   .0377689753796
   7.51989092078E+16   6.47756877757E+7   .0376563702484
   7.56345340743E+16   6.51125580465E+7   .0375109525131
   7.60701589409E+16   6.54494283174E+7   .03739465479
   7.65065639887E+16   6.57869019052E+7   .0372520034026
   7.69429690365E+16   6.6124375493E+7   .0371381132702
   7.7378593903E+16   6.64612457639E+7   .0370084168014
   7.78142187695E+16   6.67981160347E+7   .0368485969937
   7.82498436361E+16   6.71349863056E+7   .0367219563585
   7.86862486839E+16   6.74724598934E+7   .0366275806587
   7.91226537317E+16   6.78099334812E+7   .036456612695
   7.95582785982E+16   6.81468037521E+7   .0363342011501
   7.99939034647E+16   6.84836740229E+7   .0361824077277
   8.04295283313E+16   6.88205442937E+7   .0360857189259
   8.08659333791E+16   6.91580178816E+7   .0359289568415
   8.13023384269E+16   6.94954914694E+7   .0358267640634
   8.17379632934E+16   6.98323617403E+7   .0356794109023
   8.21743683412E+16   7.01698353281E+7   .0355422527278
   8.26107733891E+16   7.05073089159E+7   .035428850288
   8.30463982556E+16   7.08441791868E+7   .0352725922641
   8.34828033034E+16   7.11816527746E+7   .0351617840293
   8.39192083512E+16   7.15191263624E+7   .0350228498434
   8.43548332178E+16   7.18559966333E+7   .0349162594135
   8.47904580843E+16   7.21928669041E+7   .034786133294
   8.52268631321E+16   7.2530340492E+7   .0346584616293
   8.56632681799E+16   7.28678140798E+7   .034481896715
   8.60988930464E+16   7.32046843506E+7   .0344372768485
   8.6534517913E+16   7.35415546215E+7   .0342710139635
   8.69701427795E+16   7.38784248923E+7   .0341544439261
   8.7405767646E+16   7.42152951632E+7   .0340488745283
   8.78413925125E+16   7.4552165434E+7   .033907989759
   8.8277017379E+16   7.48890357048E+7   .0337671037969
   8.87126422456E+16   7.52259059757E+7   .0336165229147
   8.91482671121E+16   7.55627762465E+7   .0335418285689
   8.95838919786E+16   7.58996465174E+7   .0334130065596
   9.00195168451E+16   7.62365167882E+7   .0332977137951
   9.04551417116E+16   7.6573387059E+7   .0331848896564
   9.08907665782E+16   7.69102573299E+7   .0330880149942
   9.13263914447E+16   7.72471276007E+7   .0329100080848
   9.17627964925E+16   7.75846011886E+7   .0328003524796
   9.21992015403E+16   7.79220747764E+7   .0326784104066
   9.26348264069E+16   7.82589450472E+7   .032591046148
   9.30704512734E+16   7.85958153181E+7   .0324715002303
   9.35060761399E+16   7.89326855889E+7   .0323517543603
   9.39417010064E+16   7.92695558598E+7   .0322095797786
   9.43773258729E+16   7.96064261306E+7   .0320869415105
   9.48129507395E+16   7.99432964014E+7   .0319900488766
   9.5248575606E+16   8.02801666723E+7   .0318708262269
   9.56842004725E+16   8.06170369431E+7   .0317064679429
   9.6119825339E+16   8.0953907214E+7   .0316330666953
   9.65554502055E+16   8.12907774848E+7   .0315018002522
   9.69910750721E+16   8.16276477556E+7   .0313869124203
   9.74266999386E+16   8.19645180265E+7   .0312654862305
   9.78623248051E+16   8.23013882973E+7   .0311325876123
   9.82987298529E+16   8.26388618852E+7   .0310243665611
   9.8735915082E+16   8.297693879E+7   .0309069039629
   9.91723201299E+16   8.33144123778E+7   .030794435505
   9.96079449964E+16   8.36512826487E+7   .0307103264858
   1.00043569863E+17   8.39881529195E+7   .030619582091
   1.00479194729E+17   8.43250231903E+7   .0304746051886
   1.00914819596E+17   8.46618934612E+7   .0303613143033
   1.01351224644E+17   8.4999367049E+7   .0302487644621
   1.01788409873E+17   8.53374439538E+7   .0301478110577
   1.02225595102E+17   8.56755208587E+7   .0299900364398
   1.0266200015E+17   8.60129944465E+7   .0299092216283
   1.03097625016E+17   8.63498647174E+7   .029795951914
   1.03533249883E+17   8.66867349882E+7   .0296812622115
   1.03968874749E+17   8.7023605259E+7   .0295568990699
   1.04404499616E+17   8.73604755299E+7   .0294994680362
   1.04840124482E+17   8.76973458007E+7   .0293593168443
   1.05275749349E+17   8.80342160716E+7   .0292903422817
   1.05712154397E+17   8.83716896594E+7   .0291345608916
   1.06148559445E+17   8.87091632472E+7   .029061074965
   1.06584184311E+17   8.90460335181E+7   .0289134826686
   1.07019809178E+17   8.93829037889E+7   .0288290800701
   1.07455434044E+17   8.97197740597E+7   .0287247828598
   1.07891058911E+17   9.00566443306E+7   .0285564243256
   1.08326683777E+17   9.03935146014E+7   .0285107664049
   1.08762308644E+17   9.07303848723E+7   .0283739816944
   1.0919793351E+17   9.10672551431E+7   .028270914249
   1.09634338558E+17   9.14047287309E+7   .0282211314175
   1.10070743606E+17   9.17422023188E+7   .028081338396
   1.10506368472E+17   9.20790725896E+7   .0279539638739
   1.10941993339E+17   9.24159428605E+7   .027894030373
   1.11377618205E+17   9.27528131313E+7   .0278114024008
   1.11814023253E+17   9.30902867191E+7   .0276545125537
   1.12250428301E+17   9.3427760307E+7   .0275907753833
   1.12686053168E+17   9.37646305778E+7   .0274841141994
   1.13121678034E+17   9.41015008487E+7   .0273728444647
   1.13557302901E+17   9.44383711195E+7   .0272732468527
   1.13993707948E+17   9.47758447073E+7   .0271731467824
   1.14430893178E+17   9.51139216122E+7   .0270532275491
   1.14867298225E+17   9.54513952E+7   .0269504466424
   1.15302923092E+17   9.57882654708E+7   .0268390362434
   1.15738547958E+17   9.61251357417E+7   .0267698612056
   1.16174172825E+17   9.64620060125E+7   .0267223544161
   1.16610577873E+17   9.67994796004E+7   .0265475486723
   1.17046982921E+17   9.71369531882E+7   .0264758564739
   1.17482607787E+17   9.7473823459E+7   .0263933695845
   1.17918232654E+17   9.78106937299E+7   .0262750280025
   1.1835385752E+17   9.81475640007E+7   .0261720895563
   1.18789482387E+17   9.84844342716E+7   .0261030002386
   1.19225107253E+17   9.88213045424E+7   .0260076250592
   1.1966073212E+17   9.91581748132E+7   .0259221842628
   1.20096356986E+17   9.94950450841E+7   .0257831476001
   1.20531981853E+17   9.98319153549E+7   .0256991357044
   1.20967606719E+17   1.00168785626E+8   .0256269001638
   1.21404011767E+17   1.00506259214E+8   .0255256731256
   1.21841196996E+17   1.00844336118E+8   .0254189586961
   1.22277602044E+17   1.01181809706E+8   .0253282392046
   1.22713226911E+17   1.01518679977E+8   .0252423299129
   1.23148851777E+17   1.01855550248E+8   .0251590235741
   1.23584476644E+17   1.02192420519E+8   .025064375741
   1.2402010151E+17   1.0252929079E+8   .0249872325758
   1.24456506558E+17   1.02866764377E+8   .0248887570768
   1.24892911606E+17   1.03204237965E+8   .0248322831354
   1.25328536472E+17   1.03541108236E+8   .0247155823051
   1.25764161339E+17   1.03877978507E+8   .0246153193312
   1.26199786205E+17   1.04214848778E+8   .0245264566639
   1.26635411072E+17   1.04551719049E+8   .0244323846713
   1.27071035938E+17   1.04888589319E+8   .0243824632585
