   Nsub = 7.2e16 cm-3

      Ns [1/m2]         Eeff [V/m]        mob. [m2/Vs]

   4.71210475123E+14   1.37000815128E+7   .0350365798884
   7.09736635349E+14   1.38845346475E+7   .041719064342
   9.95073673449E+14   1.41051868019E+7   .0464582065608
   1.31473868866E+15   1.4352384904E+7   .0496975882442
   1.6585893241E+15   1.4618285833E+7   .0518545622164
   2.0180435855E+15   1.48962531019E+7   .0533824299047
   2.38920056637E+15   1.51832701256E+7   .0543173967526
   2.76893954152E+15   1.54769236363E+7   .0550701107549
   3.15491996705E+15   1.5775403683E+7   .0555505926906
   3.54636166166E+15   1.60781069486E+7   .0558747215295
   3.94170426277E+15   1.63838267992E+7   .0559546161371
   4.34094777036E+15   1.66925632348E+7   .0560260107375
   4.74409218444E+15   1.70043162553E+7   .0560779718398
   5.14957714242E+15   1.73178792269E+7   .0559988094119
   5.55662246299E+15   1.76326488324E+7   .0560058331396
   5.96444796487E+15   1.79480217549E+7   .0558711490034
   6.37383382933E+15   1.82646013114E+7   .0558188088184
   6.78556023769E+15   1.85829908188E+7   .0557138548693
   7.19884700865E+15   1.89025869603E+7   .0555000093812
   7.6136941422E+15   1.92233897358E+7   .0553639780336
   8.02932145705E+15   1.95447958282E+7   .0552274882392
   8.4457289532E+15   1.98668052377E+7   .0550906455057
   8.86291663065E+15   2.01894179641E+7   .0548596027721
   9.28010430809E+15   2.05120306905E+7   .0546968267467
   9.69807216684E+15   2.0835246734E+7   .0545424056724
   1.01168202069E+16   2.11590660944E+7   .0543662959774
   1.05363484282E+16   2.14834887718E+7   .0541595029898
   1.09566568309E+16   2.18085147662E+7   .0540518613551
   1.13769652335E+16   2.21335407606E+7   .0538316480643
   1.17980538174E+16   2.24591700721E+7   .0536132027737
   1.22199225827E+16   2.27854027005E+7   .0534655145153
   1.26417913479E+16   2.31116353289E+7   .0533131565104
   1.30636601131E+16   2.34378679573E+7   .05317907337
   1.34863090597E+16   2.37647039027E+7   .052973146736
   1.39097381875E+16   2.40921431651E+7   .0527750143157
   1.43331673153E+16   2.44195824274E+7   .0525680882728
   1.47558162619E+16   2.47464183728E+7   .0524703926014
   1.51784652084E+16   2.50732543182E+7   .0523353878989
   1.56018943362E+16   2.54006935806E+7   .052173698992
   1.60261036453E+16   2.572873616E+7   .0519416283408
   1.64510931358E+16   2.60573820564E+7   .051836657731
   1.68760826262E+16   2.63860279528E+7   .0516484678222
   1.73010721166E+16   2.67146738492E+7   .0514688157964
   1.7726061607E+16   2.70433197455E+7   .051360629612
   1.81510510975E+16   2.73719656419E+7   .0512183884032
   1.85768207692E+16   2.77012148553E+7   .0510877598227
   1.90025904409E+16   2.80304640687E+7   .050912731302
   1.94275799313E+16   2.83591099651E+7   .0507379593336
   1.98533496031E+16   2.86883591784E+7   .050627883058
   2.02798994561E+16   2.90182117088E+7   .0504764153874
   2.07064493091E+16   2.93480642392E+7   .0502921648409
   2.11329991621E+16   2.96779167695E+7   .0501280973619
   2.15595490151E+16   3.00077692999E+7   .0500420730855
   2.19860988682E+16   3.03376218303E+7   .049873631944
   2.24126487212E+16   3.06674743607E+7   .0497509323264
   2.28391985742E+16   3.0997326891E+7   .0495615212655
   2.32657484272E+16   3.13271794214E+7   .0494322038388
   2.36922982802E+16   3.16570319518E+7   .0493261457203
   2.41196283146E+16   3.19874877991E+7   .0491938215654
   2.45477385302E+16   3.23185469635E+7   .049035618238
   2.49758487458E+16   3.26496061279E+7   .0488485250486
   2.54039589614E+16   3.29806652922E+7   .0488002685377
   2.5832069177E+16   3.33117244566E+7   .0486645101571
   2.62601793926E+16   3.36427836209E+7   .0485285160472
   2.66882896083E+16   3.39738427853E+7   .0485803802329
   2.71163998239E+16   3.43049019496E+7   .0484454935128
   2.75445100395E+16   3.4635961114E+7   .0483147997431
   2.79726202551E+16   3.49670202784E+7   .0482099901998
   2.8401510652E+16   3.52986827597E+7   .048042358943
   2.88304010489E+16   3.56303452411E+7   .0479009478497
   2.92585112646E+16   3.59614044054E+7   .0478486441149
   2.96874016615E+16   3.62930668868E+7   .0477141137795
   3.01162920584E+16   3.66247293681E+7   .0475834151754
   3.05451824553E+16   3.69563918495E+7   .0474764276004
   3.09748530335E+16   3.72886576478E+7   .0473119215689
   3.14045236117E+16   3.76209234462E+7   .0472103939701
   3.18334140086E+16   3.79525859275E+7   .0471704507547
   3.22623044056E+16   3.82842484089E+7   .0469418289198
   3.26919749838E+16   3.86165142072E+7   .0468304390478
   3.31208653807E+16   3.89481766886E+7   .0466491108884
   3.35497557776E+16   3.92798391699E+7   .0465636485416
