   Nsub = 3.9e15 cm-3

      Ns [1/m2]         Eeff [V/m]        mob. [m2/Vs]

   6.45209933368E+14   3.29061711025E+6   .0710494817648
   9.365519209E+14   3.51591291356E+6   .0767678029167
   1.25754079775E+15   3.76413476266E+6   .0794815983803
   1.59725402576E+15   4.02683621963E+6   .0808337443561
   1.95023033582E+15   4.2997940655E+6   .0816171495102
   2.31334900276E+15   4.58059503229E+6   .0813605655524
   2.68348930138E+15   4.86682585204E+6   .0809148805588
   3.05987105039E+15   5.15788320774E+6   .0802540726495
   3.44171406848E+15   5.4531637824E+6   .0795753790789
   3.82745799306E+15   5.75146094203E+6   .0788631162837
   4.21710282412E+15   6.05277468663E+6   .0779516083817
   4.60986838038E+15   6.35650169921E+6   .0771837101923
   5.00419429924E+15   6.66143534578E+6   .0764086446552
   5.40086076199E+15   6.96817894333E+6   .0755863426292
   5.79986776863E+15   7.27673249187E+6   .074848296246
   6.20043513787E+15   7.58649267439E+6   .0740790558124
   6.60256286971E+15   7.8974594909E+6   .0733909623289
   7.00625096414E+15   8.2096329414E+6   .0726543696678
   7.41149942116E+15   8.52301302589E+6   .0719676294333
   7.81830824079E+15   8.83759974437E+6   .071207766191
   8.226677423E+15   9.15339309684E+6   .0707349751711
   8.63504660522E+15   9.4691864493E+6   .0700490853997
   9.04341578744E+15   9.78497980177E+6   .0695263596413
   9.45256515096E+15   1.01013764712E+7   .0689450705714
   9.86249469577E+15   1.04183764577E+7   .0682610819378
   1.02732044219E+16   1.07359797611E+7   .0677145497922
   1.0683914148E+16   1.10535830646E+7   .0672914832888
   1.10946238741E+16   1.1371186368E+7   .0667306542676
   1.15068939628E+16   1.16899963055E+7   .0662598127761
   1.19207244141E+16   1.20100128769E+7   .0657475153778
   1.23345548654E+16   1.23300294483E+7   .065350218634
   1.27483853167E+16   1.26500460198E+7   .0649264148314
   1.31629959493E+16   1.29706659082E+7   .0644876604376
   1.35776065819E+16   1.32912857966E+7   .0640831927919
   1.39922172145E+16   1.3611905685E+7   .0636421212729
   1.44076080284E+16   1.39331288904E+7   .0632857622399
   1.48229988423E+16   1.42543520959E+7   .062888385181
   1.52391698375E+16   1.45761786183E+7   .0624783266069
   1.5656121014E+16   1.48986084577E+7   .0620898626411
   1.60730721905E+16   1.52210382971E+7   .0617623322262
   1.64908035483E+16   1.55440714535E+7   .0614340668923
   1.69085349061E+16   1.58671046099E+7   .0610658799108
   1.73254860826E+16   1.61895344493E+7   .0607110058331
   1.77432174404E+16   1.65125676057E+7   .0604567761271
   1.81617289795E+16   1.68362040791E+7   .0601699655301
   1.85802405186E+16   1.71598405525E+7   .0598382947981
   1.89987520577E+16   1.74834770259E+7   .0595414602698
   1.94172635968E+16   1.78071134993E+7   .0592708074185
   1.98357751358E+16   1.81307499726E+7   .0589944838876
   2.02550668562E+16   1.8454989763E+7   .0589728050424
   2.06751387579E+16   1.87798328704E+7   .058676485727
   2.10952106596E+16   1.91046759778E+7   .0584187530144
   2.15152825613E+16   1.94295190852E+7   .0581973467696
   2.1935354463E+16   1.97543621926E+7   .0578813829632
   2.23554263647E+16   2.00792052999E+7   .0576025688269
   2.27754982664E+16   2.04040484073E+7   .0573836579827
   2.3195570168E+16   2.07288915147E+7   .0571970359877
   2.36156420697E+16   2.10537346221E+7   .0569931266218
   2.40357139714E+16   2.13785777295E+7   .0566788025951
   2.44557858731E+16   2.17034208369E+7   .0565139044537
   2.48766379561E+16   2.20288672612E+7   .0562846668575
   2.52982702204E+16   2.23549170026E+7   .0560389923731
   2.57199024846E+16   2.2680966744E+7   .0558672798183
   2.61415347489E+16   2.30070164853E+7   .0555714180505
   2.65631670132E+16   2.33330662267E+7   .05547639321
   2.69847992775E+16   2.36591159681E+7   .0552168237936
   2.74064315418E+16   2.39851657095E+7   .05502709239
   2.78280638061E+16   2.43112154508E+7   .0548634150966
   2.82496960703E+16   2.46372651922E+7   .0546446185632
   2.86713283346E+16   2.49633149336E+7   .0544125495953
   2.90937407802E+16   2.52899679919E+7   .0542245969307
   2.95161532258E+16   2.56166210503E+7   .0540228804606
   2.99377854901E+16   2.59426707917E+7   .0538660066099
   3.03594177544E+16   2.6268720533E+7   .0536576548654
   3.07810500186E+16   2.65947702744E+7   .0534733678397
   3.12034624642E+16   2.69214233328E+7   .0533289453299
   3.16258749098E+16   2.72480763911E+7   .0531169150468
   3.20482873554E+16   2.75747294495E+7   .0529633669369
   3.24714799823E+16   2.79019858249E+7   .0527603414087
   3.28946726091E+16   2.82292422002E+7   .0525968943612
   3.33170850547E+16   2.85558952586E+7   .052421867822
   3.3738717319E+16   2.8881945E+7   .0522021894297
   3.41611297646E+16   2.92085980583E+7   .0520363680456
   3.45843223915E+16   2.95358544337E+7   .0519551176404
