   Nsub = 3.0e17 cm-3

      Ns [1/m2]         Eeff [V/m]        mob. [m2/Vs]

   4.17917115245E+14   2.88169411026E+7   .0144861412596
   5.97878934629E+14   2.89561062226E+7   .0179824617962
   8.19190362801E+14   2.91272471434E+7   .021385082716
   1.07717031198E+15   2.93267439628E+7   .0245493338923
   1.36635751307E+15   2.95503734621E+7   .0273624082039
   1.68051051569E+15   2.97933091051E+7   .0297326169484
   2.01416805076E+15   3.0051327673E+7   .0317442954951
   2.36264903049E+15   3.03208092638E+7   .0333838362535
   2.72283272969E+15   3.05993406095E+7   .0347805504746
   3.09237860447E+15   3.08851117592E+7   .03598209204
   3.46894611092E+15   3.11763127618E+7   .0370085944314
   3.85175506776E+15   3.14723403004E+7   .0378518762753
   4.24002529369E+15   3.17725910579E+7   .0385606023416
   4.6321964261E+15   3.20758584004E+7   .0392386464225
   5.02748828371E+15   3.23815390108E+7   .0397792938577
   5.4259008665E+15   3.26896328893E+7   .0402369804351
   5.82665399319E+15   3.29995367187E+7   .0406157291113
   6.22896748248E+15   3.33106471821E+7   .0409814580975
   6.63362151566E+15   3.36235675965E+7   .0412796014359
   7.04061609274E+15   3.39382979619E+7   .0416093913102
   7.44839085111E+15   3.42536316443E+7   .0418233734862
   7.85694579078E+15   3.45695686436E+7   .0420270109583
   8.26706109304E+15   3.4886712277E+7   .0422011643404
   8.6787367579E+15   3.52050625444E+7   .0423776432189
   9.09119260406E+15   3.55240161287E+7   .0425533914808
   9.50442863152E+15   3.584357303E+7   .0426259946313
   9.91922502158E+15   3.61643365654E+7   .042726259345
   1.03348015929E+16   3.64857034177E+7   .0428196771442
   1.07503781643E+16   3.680707027E+7   .0428962805003
   1.11667349169E+16   3.71290404393E+7   .0429292946296
   1.15838718509E+16   3.74516139256E+7   .0429807800697
   1.20017889661E+16   3.77747907289E+7   .0430631204887
   1.24204862627E+16   3.80985708492E+7   .0430458856928
   1.28391835592E+16   3.84223509695E+7   .0431359684573
   1.3258661037E+16   3.87467344068E+7   .0430942448876
   1.36789186962E+16   3.90717211611E+7   .0431238207676
   1.40991763553E+16   3.93967079154E+7   .0431508208632
   1.45194340145E+16   3.97216946697E+7   .0431352241315
   1.49396916736E+16   4.0046681424E+7   .0431695873746
   1.53599493327E+16   4.03716681782E+7   .043143141691
   1.57809871732E+16   4.06972582495E+7   .0431181510201
   1.62028051949E+16   4.10234516378E+7   .0431376403561
   1.66246232166E+16   4.13496450261E+7   .0431182354506
   1.70464412384E+16   4.16758384143E+7   .0430782826793
   1.74682592601E+16   4.20020318026E+7   .0430592805867
   1.78908574631E+16   4.23288285079E+7   .04304698254
   1.83142358475E+16   4.26562285301E+7   .042971483988
   1.87376142318E+16   4.29836285524E+7   .0429831683971
   1.91609926161E+16   4.33110285747E+7   .0429500876011
   1.95835908192E+16   4.36378252799E+7   .0428698322606
   2.00061890222E+16   4.39646219852E+7   .0428307653629
   2.04303475878E+16   4.42926253245E+7   .0427524724527
   2.08545061535E+16   4.46206286637E+7   .0427531814832
   2.12778845378E+16   4.4948028686E+7   .0426622749223
   2.17012629221E+16   4.52754287082E+7   .0426615013139
