   Nsub = 2.4e18 cm-3

      Ns [1/m2]         Eeff [V/m]        mob. [m2/Vs]

   4.70509336583E+14   8.60560713095E+7   .00184639071626
   5.91497451705E+14   8.61496318526E+7   .00207241876321
   7.31990099274E+14   8.62582753206E+7   .00234664266085
   8.9198727929E+14   8.63820017134E+7   .00266065946775
   1.07070881046E+15   8.65202077141E+7   .0030119883581
   1.26815469277E+15   8.66728933227E+7   .00340795697271
   1.48432492624E+15   8.68400585391E+7   .00383816340308
   1.71843932956E+15   8.70211000464E+7   .00429873505321
   1.96893754013E+15   8.72148112106E+7   .00477845768706
   2.23503937666E+15   8.74205887147E+7   .00527566595919
   2.51596465785E+15   8.76378292416E+7   .00578478078252
   2.81093320241E+15   8.78659294745E+7   .00631890952159
   3.11838464773E+15   8.81036827793E+7   .0068368725551
   3.43753881252E+15   8.8350485839E+7   .00735681993151
   3.76683533418E+15   8.86051320196E+7   .00788109243419
   4.10471385012E+15   8.88664146871E+7   .00839143632261
   4.45195454163E+15   8.91349371586E+7   .00889575465993
   4.80699704613E+15   8.94094928E+7   .0093827343503
   5.1690611823E+15   8.96894782944E+7   .00984920737828
   5.53814695016E+15   8.99748936417E+7   .0103203085967
   5.9134741684E+15   9.0265135525E+7   .0107633298835
   6.29348247442E+15   9.05589973102E+7   .011173618315
   6.67817186824E+15   9.08564789975E+7   .0115941921424
   7.06754234984E+15   9.11575805866E+7   .0119931173648
   7.46003355663E+15   9.14610954438E+7   .0123765144984
   7.85642566991E+15   9.17676268859E+7   .0127421578831
   8.25593850839E+15   9.2076571596E+7   .0130985757603
   8.65857207205E+15   9.23879295741E+7   .0134344606267
   9.06432636091E+15   9.27017008202E+7   .0137567403226
   9.47242119366E+15   9.30172820172E+7   .0140737547172
   9.8828565703E+15   9.33346731652E+7   .0143836807529
   1.02948523095E+16   9.36532709472E+7   .0146288667549
   1.07091885927E+16   9.39736786802E+7   .0149090396118
   1.11258654197E+16   9.42958963642E+7   .0151801396527
   1.1543322428E+16   9.46187173652E+7   .0154161755577
   1.1962339799E+16   9.49427450001E+7   .0156615797375
   1.23829175325E+16   9.52679792691E+7   .0159018398757
   1.28042754473E+16   9.5593816855E+7   .0161340165061
   1.32271937247E+16   9.5920861075E+7   .0163452673574
   1.36508921834E+16   9.62485086119E+7   .0165506274329
   1.40753708234E+16   9.65767594658E+7   .0167537543027
   1.4501409826E+16   9.69062169537E+7   .0169293638138
   1.49282290099E+16   9.72362777586E+7   .0170933110825
   1.53558283751E+16   9.75669418805E+7   .0172581286513
   1.57849881029E+16   9.78988126364E+7   .017426382078
   1.6214928012E+16   9.82312867093E+7   .0175780255866
   1.66448679211E+16   9.85637607822E+7   .017737866952
   1.70748078302E+16   9.88962348551E+7   .0178551466404
   1.75055279206E+16   9.92293122449E+7   .0180027032289
   1.79378083736E+16   9.95635962688E+7   .0181391153827
   1.83708690078E+16   9.98984836097E+7   .0182477537436
   1.88039296421E+16   1.00233370951E+8   .0183714921332
   1.92377704577E+16   1.00568861608E+8   .0184542319735
   1.96716112733E+16   1.00904352266E+8   .0185751480339
   2.01054520889E+16   1.01239842924E+8   .0186692781395
   2.05400730858E+16   1.01575936899E+8   .0187673802109
   2.09754742639E+16   1.01912634191E+8   .0188575346767
   2.14108754421E+16   1.02249331483E+8   .0189253277086
   2.18462766203E+16   1.02586028774E+8   .0190189196305
   2.22832381611E+16   1.029239327E+8   .0191000312226
   2.27209798831E+16   1.03262439943E+8   .0191577901338
   2.31579414239E+16   1.03600343869E+8   .0192356183413
   2.35949029647E+16   1.03938247795E+8   .0193082077444
   2.40326446867E+16   1.04276755038E+8   .0193659621521
   2.44703864088E+16   1.0461526228E+8   .0194102909807
   2.49081281309E+16   1.04953769523E+8   .019455293648
   2.5345869853E+16   1.05292276766E+8   .0194987418573
   2.5783611575E+16   1.05630784009E+8   .0195514955083
   2.62221334784E+16   1.05969894569E+8   .0196146251068
   2.66614355631E+16   1.06309608446E+8   .019648412219
   2.71007376477E+16   1.06649322322E+8   .0196716677251
   2.75400397324E+16   1.06989036199E+8   .0197095229219
   2.79793418171E+16   1.07328750076E+8   .0197398311925
   2.84186439017E+16   1.07668463953E+8   .0197570738533
   2.88579459864E+16   1.0800817783E+8   .0197745621245
   2.92972480711E+16   1.08347891706E+8   .0198173327181
   2.9737330337E+16   1.086882089E+8   .0198231724456
   3.01781927843E+16   1.09029129411E+8   .0198393822159
   3.06190552316E+16   1.09370049922E+8   .0198645665337
   3.10599176788E+16   1.09710970433E+8   .019872211144
   3.15015603074E+16   1.1005249426E+8   .0198759728316
   3.19432029359E+16   1.10394018088E+8   .0198775420495
   3.23848455645E+16   1.10735541916E+8   .0198883383394
   3.28272683744E+16   1.11077669061E+8   .0198963389962
   3.32689110029E+16   1.11419192889E+8   .0199035910178
   3.37105536315E+16   1.11760716716E+8   .0198961406434
   3.41529764413E+16   1.12102843861E+8   .0199105663055
   3.45953992512E+16   1.12444971006E+8   .0198973047844
   3.50378220611E+16   1.12787098151E+8   .0199008794653
   3.54802448709E+16   1.13129225296E+8   .0198924567237
   3.59226676808E+16   1.1347135244E+8   .0198826938704
   3.63650904906E+16   1.13813479585E+8   .0198578810464
   3.68075133005E+16   1.1415560673E+8   .019865382632
   3.72499361104E+16   1.14497733875E+8   .019841364827
   3.76923589202E+16   1.1483986102E+8   .0198241055154
   3.81347817301E+16   1.15181988164E+8   .0198095791674
   3.85772045399E+16   1.15524115309E+8   .0198063382929
   3.90196273498E+16   1.15866242454E+8   .0197766705604
   3.94620501596E+16   1.16208369599E+8   .0197507673673
   3.99044729695E+16   1.16550496743E+8   .0197418778127
   4.03468957794E+16   1.16892623888E+8   .0197243647768
